"ESOLMET-CIE | Temixco, Mor.; Longitud:99º14';  Latitud:18º51';  Altitud:1219 msnm;  ",,,,,,,,
,Irradiancia,,,,,,,
Fecha,Directa,Global,Difusa,UV,Temperatura,Humedad,Viento Vel.,Presiòn Bar.
aaaa/mm/dd hh:mm:ss,W/m^2,W/m^2,W/m^2,W/m^2,ºC,%,m/s,mbar
,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
03/05/2019 00:00,0,0,0,0.186,23.02,47.67,3.463,876.0016
03/05/2019 00:10,0,0,0,0.183,22.95,48.15,2.541,875.9597
03/05/2019 00:20,0,0,0,0.184,23.01,47.78,1.763,875.8949
03/05/2019 00:30,0,0,0,0.183,22.83,47.67,2.161,875.8536
03/05/2019 00:40,0,0,0,0.185,22.69,48.32,1.409,875.6332
03/05/2019 00:50,0,0,0,0.185,22.62,48.66,1.141,875.6904
03/05/2019 01:00,0,0,0,0,22.46,48.39,1.597,875.5177
03/05/2019 01:10,0,0,0,0,22.39,48.76,1.76,875.4866
03/05/2019 01:20,0,0,0,0,22.33,48.87,0.576,875.4692
03/05/2019 01:30,0,0,0,0.264,22.35,48.19,0.416,875.4123
03/05/2019 01:40,0.006,0,0,0.214,22.45,48.15,0.343,875.2319
03/05/2019 01:50,0.012,0,0,0.187,22.31,49.34,1.128,874.9625
03/05/2019 02:00,0.009,0,0,0.187,22.08,49.55,1.365,874.7244
03/05/2019 02:10,0,0,0,0,22.01,49.34,1.278,874.7996
03/05/2019 02:20,0.008,0,0,0.206,21.97,49,1.63,874.7496
03/05/2019 02:30,0,0,0,0.177,21.91,48.87,1.681,874.7173
03/05/2019 02:40,0,0,0,0.174,21.86,49.75,1.209,874.7333
03/05/2019 02:50,0.036,0,0,0.166,21.74,50.47,2.029,874.5947
03/05/2019 03:00,0.005,0,0,0.16,21.72,49.79,1.816,874.6262
03/05/2019 03:10,0.075,0,0,0.154,21.75,50.23,2.035,874.7007
03/05/2019 03:20,0.004,0,0,0.15,21.52,49.51,2.194,874.6106
03/05/2019 03:30,0.015,0,0,0.151,21.37,50.43,2.02,874.5868
03/05/2019 03:40,0,0,0,0.147,21.11,49.24,2.005,874.2914
03/05/2019 03:50,0.001,0,0,0.143,21.18,48.8,2.226,874.6113
03/05/2019 04:00,0.043,0,0,0.138,21.05,50.23,2.505,874.6273
03/05/2019 04:10,0.001,0,0,0,20.77,50.57,2.536,874.3488
03/05/2019 04:20,0,0,0,0,20.88,50.67,2.006,874.2836
03/05/2019 04:30,0,0,0,0.134,20.83,50.71,1.814,874.2339
03/05/2019 04:40,0.148,0,0,0.128,21.06,51.22,1.97,874.1946
03/05/2019 04:50,0,0,0,0.126,20.75,51.08,1.699,874.4064
03/05/2019 05:00,0,0,0,0.122,20.79,52.89,1.571,874.4394
03/05/2019 05:10,0,0,0,0.118,20.13,53.26,1.481,874.5367
03/05/2019 05:20,0,0,0,0.118,20.06,55.17,2.071,874.4146
03/05/2019 05:30,0,0,0,0.114,19.55,55.78,2.381,874.3083
03/05/2019 05:40,0.009,0,0,0.108,19.6,56.02,2.113,874.4396
