tiempo,Idirecta,Iglobal,Idifusa,To,HR,P,ws,wd
2019-05-03 00:00:00,0.0,0.0,0.0,23.02,47.67,87600.16,2.157,56.42
2019-05-03 00:10:00,0.0,0.0,0.0,22.95,48.15,87595.97,1.538,80.3
2019-05-03 00:20:00,0.0,0.0,0.0,23.01,47.78,87589.49,1.508,90.3
2019-05-03 00:30:00,0.0,0.0,0.0,22.83,47.67,87585.36,1.268,67.2
2019-05-03 00:40:00,0.0,0.0,0.0,22.69,48.32,87563.31999999999,1.432,33.38
2019-05-03 00:50:00,0.0,0.0,0.0,22.62,48.66,87569.04,1.853,357.5
2019-05-03 01:00:00,0.0,0.0,0.0,22.46,48.39,87551.77,2.03,10.84
2019-05-03 01:10:00,0.0,0.0,0.0,22.39,48.76,87548.65999999999,2.495,349.7
2019-05-03 01:20:00,0.0,0.0,0.0,22.33,48.87,87546.92,2.95,341.0
2019-05-03 01:30:00,0.0,0.0,0.0,22.35,48.19,87541.23,3.638,348.0
2019-05-03 01:40:00,0.006,0.0,0.0,22.45,48.15,87523.19,3.258,344.8
2019-05-03 01:50:00,0.012,0.0,0.0,22.31,49.34,87496.25,2.517,351.3
2019-05-03 02:00:00,0.009,0.0,0.0,22.08,49.55,87472.43999999999,2.07,330.0
2019-05-03 02:10:00,0.0,0.0,0.0,22.01,49.34,87479.96,1.042,349.2
2019-05-03 02:20:00,0.008,0.0,0.0,21.97,49.0,87474.95999999999,0.717,20.83
2019-05-03 02:30:00,0.0,0.0,0.0,21.91,48.87,87471.73,1.157,139.7
2019-05-03 02:40:00,0.0,0.0,0.0,21.86,49.75,87473.33,0.557,158.8
2019-05-03 02:50:00,0.036,0.0,0.0,21.74,50.47,87459.47,0.56,85.2
2019-05-03 03:00:00,0.005,0.0,0.0,21.72,49.79,87462.62000000001,1.085,13.01
2019-05-03 03:10:00,0.075,0.0,0.0,21.75,50.23,87470.06999999999,1.487,0.333
2019-05-03 03:20:00,0.004,0.0,0.0,21.52,49.51,87461.06,1.18,330.0
2019-05-03 03:30:00,0.015,0.0,0.0,21.37,50.43,87458.68000000001,2.382,333.8
2019-05-03 03:40:00,0.0,0.0,0.0,21.11,49.24,87429.14,2.993,339.3
2019-05-03 03:50:00,0.001,0.0,0.0,21.18,48.8,87461.13,3.057,349.0
2019-05-03 04:00:00,0.043,0.0,0.0,21.05,50.23,87462.73,3.055,352.0
2019-05-03 04:10:00,0.001,0.0,0.0,20.77,50.57,87434.88,1.633,4.832
2019-05-03 04:20:00,0.0,0.0,0.0,20.88,50.67,87428.36,1.433,343.7
2019-05-03 04:30:00,0.0,0.0,0.0,20.83,50.71,87423.39,0.75,356.3
2019-05-03 04:40:00,0.148,0.0,0.0,21.06,51.22,87419.46,1.383,347.8
2019-05-03 04:50:00,0.0,0.0,0.0,20.75,51.08,87440.64,2.233,336.3
2019-05-03 05:00:00,0.0,0.0,0.0,20.79,52.89,87443.94,2.918,333.2
2019-05-03 05:10:00,0.0,0.0,0.0,20.13,53.26,87453.67,2.325,340.7
2019-05-03 05:20:00,0.0,0.0,0.0,20.06,55.17,87441.45999999999,1.953,355.3
2019-05-03 05:30:00,0.0,0.0,0.0,19.55,55.78,87430.83,2.352,0.668
2019-05-03 05:40:00,0.009,0.0,0.0,19.6,56.02,87443.96,2.593,353.3
2019-05-03 05:50:00,0.04,0.0,0.0,19.53,56.23,87448.82,2.673,345.0
2019-05-03 06:00:00,0.085,0.0,0.0,19.62,55.82,87481.55,2.192,360.0
2019-05-03 06:10:00,0.155,0.0,0.0,19.85,55.24,87483.89,1.763,339.8
2019-05-03 06:20:00,0.0,7.96,1.824,19.56,57.05,87456.22,1.31,341.0
2019-05-03 06:30:00,15.3,13.67,9.63,19.41,56.43,87469.3,2.835,350.7
2019-05-03 06:40:00,61.87,30.03,20.3,19.45,56.77,87485.58,2.603,345.0
2019-05-03 06:50:00,94.9,49.3,31.65,19.83,53.84,87493.75,0.678,8.65
2019-05-03 07:00:00,142.7,74.75,43.26,20.1,56.3,87498.77,1.645,5.665
2019-05-03 07:10:00,177.7,101.3,54.53,20.09,53.64,87497.91,2.54,355.3
2019-05-03 07:20:00,214.5,131.0,65.97,20.69,52.79,87509.3,2.582,350.7
2019-05-03 07:30:00,259.1,166.9,77.64,21.17,50.91,87507.75,2.457,0.167
2019-05-03 07:40:00,286.5,199.1,88.2,21.97,48.63,87530.66,2.468,356.0
2019-05-03 07:50:00,321.8,235.5,98.1,22.91,44.68,87542.86,1.757,14.24
2019-05-03 08:00:00,358.4,273.9,106.6,24.26,44.51,87537.93,0.44,357.0
2019-05-03 08:10:00,386.7,311.5,114.5,24.27,43.79,87563.3,0.833,86.5
2019-05-03 08:20:00,425.9,355.2,122.5,24.43,44.16,87546.98,0.92,74.38
2019-05-03 08:30:00,452.5,393.7,129.4,24.72,42.94,87547.79999999999,1.073,125.7
2019-05-03 08:40:00,477.8,432.0,136.0,25.09,42.87,87531.65000000001,1.223,133.2
2019-05-03 08:50:00,494.3,468.1,143.7,25.44,40.72,87555.24,2.085,173.0
2019-05-03 09:00:00,510.5,506.5,152.0,25.92,40.45,87556.06,1.46,184.4
2019-05-03 09:10:00,525.6,540.8,157.8,26.25,40.24,87569.34999999999,2.032,157.2
2019-05-03 09:20:00,540.2,573.2,158.5,26.31,39.63,87567.75,1.435,210.8
2019-05-03 09:30:00,568.2,615.9,165.0,26.38,39.59,87574.85,0.558,42.92
2019-05-03 09:40:00,592.3,656.4,168.6,26.43,40.51,87577.04,1.72,212.2
2019-05-03 09:50:00,608.9,693.3,173.9,25.89,40.13,87567.24,0.855,94.6
2019-05-03 10:00:00,605.6,708.7,174.4,26.25,38.33,87560.83,3.022,136.2
2019-05-03 10:10:00,649.0,760.0,176.0,26.89,38.57,87562.71,1.505,173.8
2019-05-03 10:20:00,661.7,789.5,178.3,27.17,36.93,87578.97,0.635,115.4
2019-05-03 10:30:00,673.2,816.0,179.2,27.31,37.14,87558.91,1.383,220.9
2019-05-03 10:40:00,682.8,841.0,180.5,27.44,34.68,87561.7,1.277,120.6
2019-05-03 10:50:00,694.7,869.0,181.8,27.61,35.64,87575.84000000001,1.33,85.7
2019-05-03 11:00:00,700.5,891.0,184.5,28.52,34.68,87544.44,2.773,219.3
2019-05-03 11:10:00,704.1,913.0,187.7,27.98,32.88,87556.32,1.055,255.6
2019-05-03 11:20:00,700.4,924.0,191.3,29.13,33.63,87540.98,2.937,109.4
2019-05-03 11:30:00,699.4,938.0,194.3,29.2,31.28,87539.33,1.902,136.7
2019-05-03 11:40:00,697.3,953.0,199.7,29.9,30.49,87514.25,2.067,123.8
2019-05-03 11:50:00,696.5,962.0,202.6,30.53,29.16,87495.67,1.982,159.4
