tiempo,year,month,day,hour,minute,Idirecta,Iglobal,Idifusa,UV,To,HR,Wspeed,P
2019-03-05 00:00:00,2019,3,5,0,0,0.0,0.0,0.0,0.186,23.02,47.67,3.463,87600.16
2019-03-05 00:10:00,2019,3,5,0,10,0.0,0.0,0.0,0.183,22.95,48.15,2.541,87595.97
2019-03-05 00:20:00,2019,3,5,0,20,0.0,0.0,0.0,0.184,23.01,47.78,1.763,87589.49
2019-03-05 00:30:00,2019,3,5,0,30,0.0,0.0,0.0,0.183,22.83,47.67,2.161,87585.36
2019-03-05 00:40:00,2019,3,5,0,40,0.0,0.0,0.0,0.185,22.69,48.32,1.409,87563.31999999999
2019-03-05 00:50:00,2019,3,5,0,50,0.0,0.0,0.0,0.185,22.62,48.66,1.141,87569.04
2019-03-05 01:00:00,2019,3,5,1,0,0.0,0.0,0.0,0.0,22.46,48.39,1.597,87551.77
2019-03-05 01:10:00,2019,3,5,1,10,0.0,0.0,0.0,0.0,22.39,48.76,1.76,87548.65999999999
2019-03-05 01:20:00,2019,3,5,1,20,0.0,0.0,0.0,0.0,22.33,48.87,0.576,87546.92
2019-03-05 01:30:00,2019,3,5,1,30,0.0,0.0,0.0,0.264,22.35,48.19,0.416,87541.23
2019-03-05 01:40:00,2019,3,5,1,40,0.006,0.0,0.0,0.214,22.45,48.15,0.343,87523.19
2019-03-05 01:50:00,2019,3,5,1,50,0.012,0.0,0.0,0.187,22.31,49.34,1.128,87496.25
2019-03-05 02:00:00,2019,3,5,2,0,0.009,0.0,0.0,0.187,22.08,49.55,1.365,87472.43999999999
2019-03-05 02:10:00,2019,3,5,2,10,0.0,0.0,0.0,0.0,22.01,49.34,1.278,87479.96
2019-03-05 02:20:00,2019,3,5,2,20,0.008,0.0,0.0,0.206,21.97,49.0,1.63,87474.95999999999
2019-03-05 02:30:00,2019,3,5,2,30,0.0,0.0,0.0,0.177,21.91,48.87,1.681,87471.73
2019-03-05 02:40:00,2019,3,5,2,40,0.0,0.0,0.0,0.174,21.86,49.75,1.209,87473.33
2019-03-05 02:50:00,2019,3,5,2,50,0.036,0.0,0.0,0.166,21.74,50.47,2.029,87459.47
2019-03-05 03:00:00,2019,3,5,3,0,0.005,0.0,0.0,0.16,21.72,49.79,1.816,87462.62000000001
