tiempo,ws,wd
2019-05-03 00:00:00,2.157,56.42
2019-05-03 00:10:00,1.538,80.3
2019-05-03 00:20:00,1.508,90.3
2019-05-03 00:30:00,1.268,67.2
2019-05-03 00:40:00,1.432,33.38
2019-05-03 00:50:00,1.853,357.5
2019-05-03 01:00:00,2.03,10.84
2019-05-03 01:10:00,2.495,349.7
2019-05-03 01:20:00,2.95,341.0
2019-05-03 01:30:00,3.638,348.0
2019-05-03 01:40:00,3.258,344.8
2019-05-03 01:50:00,2.517,351.3
2019-05-03 02:00:00,2.07,330.0
2019-05-03 02:10:00,1.042,349.2
2019-05-03 02:20:00,0.717,20.83
2019-05-03 02:30:00,1.157,139.7
2019-05-03 02:40:00,0.557,158.8
2019-05-03 02:50:00,0.56,85.2
2019-05-03 03:00:00,1.085,13.01
2019-05-03 03:10:00,1.487,0.333
2019-05-03 03:20:00,1.18,330.0
2019-05-03 03:30:00,2.382,333.8
2019-05-03 03:40:00,2.993,339.3
2019-05-03 03:50:00,3.057,349.0
2019-05-03 04:00:00,3.055,352.0
2019-05-03 04:10:00,1.633,4.832
2019-05-03 04:20:00,1.433,343.7
2019-05-03 04:30:00,0.75,356.3
2019-05-03 04:40:00,1.383,347.8
2019-05-03 04:50:00,2.233,336.3
2019-05-03 05:00:00,2.918,333.2
2019-05-03 05:10:00,2.325,340.7
2019-05-03 05:20:00,1.953,355.3
2019-05-03 05:30:00,2.352,0.668
2019-05-03 05:40:00,2.593,353.3
2019-05-03 05:50:00,2.673,345.0
2019-05-03 06:00:00,2.192,360.0
2019-05-03 06:10:00,1.763,339.8
2019-05-03 06:20:00,1.31,341.0
2019-05-03 06:30:00,2.835,350.7
2019-05-03 06:40:00,2.603,345.0
2019-05-03 06:50:00,0.678,8.65
2019-05-03 07:00:00,1.645,5.665
2019-05-03 07:10:00,2.54,355.3
2019-05-03 07:20:00,2.582,350.7
2019-05-03 07:30:00,2.457,0.167
2019-05-03 07:40:00,2.468,356.0
2019-05-03 07:50:00,1.757,14.24
2019-05-03 08:00:00,0.44,357.0
2019-05-03 08:10:00,0.833,86.5
2019-05-03 08:20:00,0.92,74.38
2019-05-03 08:30:00,1.073,125.7
2019-05-03 08:40:00,1.223,133.2
2019-05-03 08:50:00,2.085,173.0
2019-05-03 09:00:00,1.46,184.4
2019-05-03 09:10:00,2.032,157.2
2019-05-03 09:20:00,1.435,210.8
2019-05-03 09:30:00,0.558,42.92
2019-05-03 09:40:00,1.72,212.2
2019-05-03 09:50:00,0.855,94.6
2019-05-03 10:00:00,3.022,136.2
2019-05-03 10:10:00,1.505,173.8
2019-05-03 10:20:00,0.635,115.4
2019-05-03 10:30:00,1.383,220.9
2019-05-03 10:40:00,1.277,120.6
2019-05-03 10:50:00,1.33,85.7
2019-05-03 11:00:00,2.773,219.3
2019-05-03 11:10:00,1.055,255.6
2019-05-03 11:20:00,2.937,109.4
2019-05-03 11:30:00,1.902,136.7
2019-05-03 11:40:00,2.067,123.8
2019-05-03 11:50:00,1.982,159.4
2019-05-03 12:00:00,2.023,150.6
2019-05-03 12:10:00,0.528,32.28
2019-05-03 12:20:00,0.218,183.5
2019-05-03 12:30:00,3.858,164.4
2019-05-03 12:40:00,2.962,113.8
2019-05-03 12:50:00,0.715,29.22
2019-05-03 13:00:00,1.0,208.4
2019-05-03 13:10:00,1.738,179.0
2019-05-03 13:20:00,1.705,103.2
2019-05-03 13:30:00,1.198,141.1
2019-05-03 13:40:00,3.04,193.4
2019-05-03 13:50:00,3.325,187.4
2019-05-03 14:00:00,2.388,145.4
2019-05-03 14:10:00,0.712,89.4
2019-05-03 14:20:00,2.135,176.2
2019-05-03 14:30:00,0.835,191.4
2019-05-03 14:40:00,2.808,113.3
2019-05-03 14:50:00,2.037,122.3
2019-05-03 15:00:00,0.943,149.7
2019-05-03 15:10:00,1.592,175.1
2019-05-03 15:20:00,2.758,166.8
2019-05-03 15:30:00,0.782,275.1
2019-05-03 15:40:00,3.68,143.7
2019-05-03 15:50:00,1.61,195.8
2019-05-03 16:00:00,1.525,295.5
2019-05-03 16:10:00,1.727,195.8
2019-05-03 16:20:00,3.102,207.8
2019-05-03 16:30:00,1.88,173.6
2019-05-03 16:40:00,1.415,277.8
2019-05-03 16:50:00,2.893,231.0
2019-05-03 17:00:00,2.537,184.0
2019-05-03 17:10:00,1.71,253.3
2019-05-03 17:20:00,0.243,114.8
2019-05-03 17:30:00,2.397,280.1
2019-05-03 17:40:00,1.27,232.6
2019-05-03 17:50:00,0.792,5.074
2019-05-03 18:00:00,1.902,308.3
2019-05-03 18:10:00,1.702,293.5
2019-05-03 18:20:00,0.932,291.0
2019-05-03 18:30:00,1.533,311.3
2019-05-03 18:40:00,2.023,311.3
2019-05-03 18:50:00,1.727,307.5
2019-05-03 19:00:00,1.432,306.7
2019-05-03 19:10:00,1.538,327.3
2019-05-03 19:20:00,2.422,347.5
2019-05-03 19:30:00,2.505,0.333
2019-05-03 19:40:00,4.542,46.16
2019-05-03 19:50:00,3.212,25.18
2019-05-03 20:00:00,4.243,28.53
2019-05-03 20:10:00,5.008,37.33
2019-05-03 20:20:00,7.173,71.85
2019-05-03 20:30:00,12.7,74.15
2019-05-03 20:40:00,6.422,46.29
2019-05-03 20:50:00,8.39,57.83
2019-05-03 21:00:00,7.665,31.85
2019-05-03 21:10:00,7.47,48.5
2019-05-03 21:20:00,7.322,22.33
2019-05-03 21:30:00,6.805,25.66
2019-05-03 21:40:00,5.757,8.38
2019-05-03 21:50:00,5.843,0.716
2019-05-03 22:00:00,2.875,355.9
2019-05-03 22:10:00,6.108,344.0
2019-05-03 22:20:00,5.233,337.2
2019-05-03 22:30:00,2.298,34.99
2019-05-03 22:40:00,2.457,38.5
2019-05-03 22:50:00,3.142,358.4
2019-05-03 23:00:00,4.422,275.1
2019-05-03 23:10:00,3.62,251.2
2019-05-03 23:20:00,3.412,180.9
2019-05-03 23:30:00,3.298,197.8
2019-05-03 23:40:00,4.67,192.7
2019-05-03 23:50:00,4.613,163.5
2019-05-04 00:00:00,1.385,25.83
2019-05-04 00:10:00,1.077,2.025
2019-05-04 00:20:00,2.223,325.5
2019-05-04 00:30:00,2.692,328.8
2019-05-04 00:40:00,1.812,8.33
2019-05-04 00:50:00,1.478,346.5
2019-05-04 01:00:00,0.328,1.052
2019-05-04 01:10:00,1.29,2.607
2019-05-04 01:20:00,0.795,29.49
2019-05-04 01:30:00,1.368,345.7
2019-05-04 01:40:00,1.578,359.8
2019-05-04 01:50:00,1.532,338.3
2019-05-04 02:00:00,0.685,28.39
2019-05-04 02:10:00,1.577,11.18
2019-05-04 02:20:00,0.818,49.15
2019-05-04 02:30:00,1.79,41.17
2019-05-04 02:40:00,1.535,55.29
2019-05-04 02:50:00,0.153,103.9
2019-05-04 03:00:00,0.437,59.73
2019-05-04 03:10:00,0.77,9.88
2019-05-04 03:20:00,0.295,31.97
2019-05-04 03:30:00,0.443,62.47
2019-05-04 03:40:00,0.622,12.83
2019-05-04 03:50:00,1.215,353.7
2019-05-04 04:00:00,0.865,37.39
2019-05-04 04:10:00,1.072,53.99
2019-05-04 04:20:00,1.877,63.33
2019-05-04 04:30:00,1.597,54.99
2019-05-04 04:40:00,1.382,59.32
2019-05-04 04:50:00,1.392,47.0
2019-05-04 05:00:00,0.682,5.725
2019-05-04 05:10:00,2.355,338.8
2019-05-04 05:20:00,2.022,322.0
2019-05-04 05:30:00,2.853,333.5
2019-05-04 05:40:00,2.87,334.2
2019-05-04 05:50:00,2.455,346.3
2019-05-04 06:00:00,1.378,52.0
2019-05-04 06:10:00,1.148,31.2
2019-05-04 06:20:00,2.423,10.99
2019-05-04 06:30:00,1.24,25.29
2019-05-04 06:40:00,1.11,57.67
2019-05-04 06:50:00,0.808,12.25
2019-05-04 07:00:00,0.95,16.39
2019-05-04 07:10:00,1.457,315.8
2019-05-04 07:20:00,2.26,329.7
2019-05-04 07:30:00,2.255,332.7
2019-05-04 07:40:00,1.808,335.0
2019-05-04 07:50:00,1.183,332.6
2019-05-04 08:00:00,1.288,331.3
2019-05-04 08:10:00,1.048,16.85
2019-05-04 08:20:00,1.043,78.27
2019-05-04 08:30:00,1.423,96.2
2019-05-04 08:40:00,0.987,157.4
2019-05-04 08:50:00,1.51,168.7
2019-05-04 09:00:00,1.022,220.0
2019-05-04 09:10:00,1.833,162.2
2019-05-04 09:20:00,1.068,114.0
2019-05-04 09:30:00,1.407,74.26
2019-05-04 09:40:00,1.208,126.6
2019-05-04 09:50:00,0.268,114.2
2019-05-04 10:00:00,1.5,93.0
2019-05-04 10:10:00,1.935,139.1
2019-05-04 10:20:00,1.543,202.6
2019-05-04 10:30:00,1.658,179.3
2019-05-04 10:40:00,2.373,158.2
2019-05-04 10:50:00,1.695,160.4
2019-05-04 11:00:00,2.332,240.8
2019-05-04 11:10:00,1.715,178.1
2019-05-04 11:20:00,1.217,169.7
2019-05-04 11:30:00,3.218,128.0
2019-05-04 11:40:00,0.928,79.77
2019-05-04 11:50:00,0.72,15.47
2019-05-04 12:00:00,3.43,207.5
2019-05-04 12:10:00,1.042,330.8
2019-05-04 12:20:00,3.613,254.8
2019-05-04 12:30:00,1.868,80.4
2019-05-04 12:40:00,1.913,42.35
2019-05-04 12:50:00,2.625,148.4
2019-05-04 13:00:00,2.912,97.7
2019-05-04 13:10:00,2.698,39.68
2019-05-04 13:20:00,3.232,237.2
2019-05-04 13:30:00,2.733,269.9
2019-05-04 13:40:00,3.102,217.3
2019-05-04 13:50:00,1.157,190.9
2019-05-04 14:00:00,3.717,125.7
2019-05-04 14:10:00,1.99,103.5
2019-05-04 14:20:00,3.203,200.7
2019-05-04 14:30:00,2.327,137.7
2019-05-04 14:40:00,1.388,220.6
2019-05-04 14:50:00,4.002,205.5
2019-05-04 15:00:00,3.055,167.3
2019-05-04 15:10:00,2.457,212.7
2019-05-04 15:20:00,2.557,118.4
2019-05-04 15:30:00,2.303,197.3
2019-05-04 15:40:00,3.44,150.7
2019-05-04 15:50:00,4.143,217.7
2019-05-04 16:00:00,1.092,156.9
2019-05-04 16:10:00,2.845,175.0
2019-05-04 16:20:00,2.463,214.2
2019-05-04 16:30:00,3.98,168.2
2019-05-04 16:40:00,2.597,214.6
2019-05-04 16:50:00,5.27,183.0
2019-05-04 17:00:00,2.74,211.1
2019-05-04 17:10:00,3.495,208.3
2019-05-04 17:20:00,3.212,239.2
2019-05-04 17:30:00,4.187,233.0
2019-05-04 17:40:00,4.418,262.3
2019-05-04 17:50:00,3.708,247.1
2019-05-04 18:00:00,2.075,255.0
2019-05-04 18:10:00,2.252,266.0
2019-05-04 18:20:00,3.322,279.6
2019-05-04 18:30:00,2.62,267.3
2019-05-04 18:40:00,2.187,288.0
2019-05-04 18:50:00,1.932,296.1
2019-05-04 19:00:00,1.943,305.8
2019-05-04 19:10:00,1.513,293.6
2019-05-04 19:20:00,1.345,296.8
2019-05-04 19:30:00,1.617,296.3
2019-05-04 19:40:00,1.578,302.7
2019-05-04 19:50:00,1.74,270.2
2019-05-04 20:00:00,1.978,268.8
2019-05-04 20:10:00,2.305,279.7
2019-05-04 20:20:00,1.832,309.0
2019-05-04 20:30:00,2.403,269.7
2019-05-04 20:40:00,2.59,243.8
2019-05-04 20:50:00,2.883,258.6
2019-05-04 21:00:00,4.293,255.5
2019-05-04 21:10:00,4.213,272.0
2019-05-04 21:20:00,3.457,258.5
2019-05-04 21:30:00,4.062,275.5
2019-05-04 21:40:00,3.637,285.3
2019-05-04 21:50:00,2.082,265.2
2019-05-04 22:00:00,3.508,274.7
2019-05-04 22:10:00,1.02,277.9
2019-05-04 22:20:00,0.998,322.2
2019-05-04 22:30:00,0.938,8.81
2019-05-04 22:40:00,0.297,141.9
2019-05-04 22:50:00,0.585,130.2
2019-05-04 23:00:00,1.367,166.6
2019-05-04 23:10:00,2.503,204.0
2019-05-04 23:20:00,2.025,195.5
2019-05-04 23:30:00,1.655,204.2
2019-05-04 23:40:00,1.308,96.3
2019-05-04 23:50:00,1.625,50.82
2019-05-05 00:00:00,1.27,313.5
2019-05-05 00:10:00,1.772,2.334
2019-05-05 00:20:00,1.128,323.5
2019-05-05 00:30:00,1.673,288.9
2019-05-05 00:40:00,2.458,283.3
2019-05-05 00:50:00,1.947,278.8
2019-05-05 01:00:00,2.137,273.7
2019-05-05 01:10:00,0.833,282.8
2019-05-05 01:20:00,1.2,315.7
2019-05-05 01:30:00,2.718,352.0
2019-05-05 01:40:00,3.018,346.0
2019-05-05 01:50:00,3.227,348.0
2019-05-05 02:00:00,2.8,346.7
2019-05-05 02:10:00,2.823,351.3
2019-05-05 02:20:00,2.872,342.5
2019-05-05 02:30:00,3.385,342.8
2019-05-05 02:40:00,2.868,344.7
2019-05-05 02:50:00,3.205,341.7
2019-05-05 03:00:00,2.852,343.3
2019-05-05 03:10:00,1.75,336.2
2019-05-05 03:20:00,2.187,3.5
2019-05-05 03:30:00,2.035,9.0
2019-05-05 03:40:00,1.79,10.67
2019-05-05 03:50:00,1.542,5.504
2019-05-05 04:00:00,1.68,348.3
2019-05-05 04:10:00,2.053,353.7
2019-05-05 04:20:00,2.287,348.3
2019-05-05 04:30:00,2.108,342.3
2019-05-05 04:40:00,1.855,338.3
2019-05-05 04:50:00,1.742,338.7
2019-05-05 05:00:00,1.932,354.7
2019-05-05 05:10:00,0.718,16.29
2019-05-05 05:20:00,0.29,57.84
2019-05-05 05:30:00,0.552,298.8
2019-05-05 05:40:00,0.563,310.3
2019-05-05 05:50:00,0.703,320.3
2019-05-05 06:00:00,0.663,336.5
2019-05-05 06:10:00,1.285,348.8
2019-05-05 06:20:00,1.565,353.0
2019-05-05 06:30:00,1.55,348.7
2019-05-05 06:40:00,1.427,334.5
2019-05-05 06:50:00,2.307,343.3
2019-05-05 07:00:00,2.2,349.5
2019-05-05 07:10:00,1.485,338.7
2019-05-05 07:20:00,0.823,307.2
2019-05-05 07:30:00,0.192,292.5
2019-05-05 07:40:00,0.338,277.8
2019-05-05 07:50:00,0.113,240.5
2019-05-05 08:00:00,0.208,230.2
2019-05-05 08:10:00,0.582,165.3
2019-05-05 08:20:00,0.645,134.3
2019-05-05 08:30:00,0.87,172.0
2019-05-05 08:40:00,1.127,166.2
2019-05-05 08:50:00,1.172,166.0
2019-05-05 09:00:00,0.982,176.8
2019-05-05 09:10:00,2.295,157.2
2019-05-05 09:20:00,1.698,188.4
2019-05-05 09:30:00,2.748,196.6
2019-05-05 09:40:00,1.915,209.0
2019-05-05 09:50:00,2.57,204.5
2019-05-05 10:00:00,1.498,174.9
2019-05-05 10:10:00,0.925,192.4
2019-05-05 10:20:00,1.4,230.8
2019-05-05 10:30:00,2.523,165.8
2019-05-05 10:40:00,2.757,183.3
2019-05-05 10:50:00,1.698,154.5
2019-05-05 11:00:00,2.312,147.2
2019-05-05 11:10:00,2.428,197.4
2019-05-05 11:20:00,2.177,235.2
2019-05-05 11:30:00,2.895,144.0
2019-05-05 11:40:00,3.555,141.3
2019-05-05 11:50:00,2.517,171.7
2019-05-05 12:00:00,2.628,210.0
2019-05-05 12:10:00,1.358,215.8
2019-05-05 12:20:00,2.63,223.8
2019-05-05 12:30:00,1.338,165.8
2019-05-05 12:40:00,3.75,242.5
2019-05-05 12:50:00,3.163,191.2
2019-05-05 13:00:00,2.832,167.0
2019-05-05 13:10:00,1.768,199.1
2019-05-05 13:20:00,3.217,155.8
2019-05-05 13:30:00,1.945,129.0
2019-05-05 13:40:00,2.09,210.3
2019-05-05 13:50:00,3.068,142.7
2019-05-05 14:00:00,1.952,200.7
2019-05-05 14:10:00,2.22,230.4
2019-05-05 14:20:00,2.65,167.4
2019-05-05 14:30:00,2.668,101.1
2019-05-05 14:40:00,4.383,192.9
2019-05-05 14:50:00,3.058,137.0
2019-05-05 15:00:00,2.227,177.7
2019-05-05 15:10:00,4.452,188.7
2019-05-05 15:20:00,5.727,174.8
2019-05-05 15:30:00,1.267,252.5
2019-05-05 15:40:00,5.912,176.8
2019-05-05 15:50:00,2.048,181.3
2019-05-05 16:00:00,2.473,112.7
2019-05-05 16:10:00,1.21,130.1
2019-05-05 16:20:00,1.282,220.7
