Date/Time,THERMAL ZONE: JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,26.884478589544714 
 05/03  00:20:00,26.775819425600838 
 05/03  00:30:00,26.726712532283377 
 05/03  00:40:00,26.684500902771917 
 05/03  00:50:00,26.613020380010715 
 05/03  01:00:00,26.49649907852907 
 05/03  01:10:00,26.385504118027645 
 05/03  01:20:00,26.31454360352875 
 05/03  01:30:00,26.153216948984203 
 05/03  01:40:00,26.0733326338789 
 05/03  01:50:00,26.02406916403232 
 05/03  02:00:00,26.02012637215886 
 05/03  02:10:00,26.005046656795775 
 05/03  02:20:00,26.040336623580197 
 05/03  02:30:00,26.053257310478914 
 05/03  02:40:00,25.994052396685075 
 05/03  02:50:00,25.938277740198566 
 05/03  03:00:00,25.88103375691207 
 05/03  03:10:00,25.827521460075283 
 05/03  03:20:00,25.756477348194545 
 05/03  03:30:00,25.726072844682727 
 05/03  03:40:00,25.555203892981284 
 05/03  03:50:00,25.32391328020853 
 05/03  04:00:00,25.192175507362327 
 05/03  04:10:00,25.14808524637462 
 05/03  04:20:00,25.198629234943163 
 05/03  04:30:00,25.248311769314609 
 05/03  04:40:00,25.27574422008801 
 05/03  04:50:00,25.246586623473907 
 05/03  05:00:00,25.11433013561858 
 05/03  05:10:00,24.988709703517264 
 05/03  05:20:00,24.811725564187179 
 05/03  05:30:00,24.729054812568003 
 05/03  05:40:00,24.60249433286058 
 05/03  05:50:00,24.481141699946563 
 05/03  06:00:00,24.386671382893707 
 05/03  06:10:00,24.379788238002257 
 05/03  06:20:00,24.45652002272029 
 05/03  06:30:00,24.490109811600307 
 05/03  06:40:00,24.323881826195057 
 05/03  06:50:00,24.20638521509925 
 05/03  07:00:00,24.383774967311635 
 05/03  07:10:00,24.514049177328908 
 05/03  07:20:00,24.413274344227668 
 05/03  07:30:00,24.4548448403785 
 05/03  07:40:00,24.551044784302769 
 05/03  07:50:00,24.693652834406924 
 05/03  08:00:00,24.89848645071215 
 05/03  08:10:00,25.066703717332567 
 05/03  08:20:00,25.23851717715189 
 05/03  08:30:00,25.36961942412617 
 05/03  08:40:00,25.453733024351068 
 05/03  08:50:00,25.531050091390577 
 05/03  09:00:00,25.611518754717957 
 05/03  09:10:00,27.864782297893656 
 05/03  09:20:00,28.176243924652327 
 05/03  09:30:00,28.47917890075429 
 05/03  09:40:00,28.989059773550645 
 05/03  09:50:00,29.161271088656087 
 05/03  10:00:00,29.144513368905547 
 05/03  10:10:00,29.14577332377705 
 05/03  10:20:00,29.309330554149648 
 05/03  10:30:00,29.48525106095381 
 05/03  10:40:00,29.605517810195904 
 05/03  10:50:00,29.696391907481297 
 05/03  11:00:00,29.784610448961638 
 05/03  11:10:00,29.94819913740868 
 05/03  11:20:00,30.03551769250616 
 05/03  11:30:00,30.244442086199947 
 05/03  11:40:00,30.35022963088458 
 05/03  11:50:00,30.520416954725627 
 05/03  12:00:00,30.67706084401585 
 05/03  12:10:00,30.8534607935159 
 05/03  12:20:00,30.98155461594864 
 05/03  12:30:00,31.079514548561968 
 05/03  12:40:00,31.169820126688426 
 05/03  12:50:00,31.2853306104841 
 05/03  13:00:00,31.346728370801068 
 05/03  13:10:00,31.34971406822041 
 05/03  13:20:00,31.47359734834907 
 05/03  13:30:00,31.627710705148617 
 05/03  13:40:00,31.730622485363118 
 05/03  13:50:00,31.87678510827537 
 05/03  14:00:00,32.12322875769094 
 05/03  14:10:00,31.85573980956798 
 05/03  14:20:00,31.81893157086894 
 05/03  14:30:00,31.98471864419589 
 05/03  14:40:00,32.12224008179302 
 05/03  14:50:00,32.2100826194056 
 05/03  15:00:00,32.32001392960822 
 05/03  15:10:00,32.4344569522503 
 05/03  15:20:00,32.53321268347106 
 05/03  15:30:00,32.56511270974802 
 05/03  15:40:00,32.7242004739024 
 05/03  15:50:00,32.85558185695908 
 05/03  16:00:00,32.72779999652964 
 05/03  16:10:00,32.565545111442698 
 05/03  16:20:00,32.42346436126552 
 05/03  16:30:00,32.25741158117506 
 05/03  16:40:00,32.08690181661683 
 05/03  16:50:00,32.01476549262317 
 05/03  17:00:00,32.08600335244728 
 05/03  17:10:00,32.061514162671659 
 05/03  17:20:00,31.981652978273507 
 05/03  17:30:00,31.958630438895776 
 05/03  17:40:00,31.98451938273039 
 05/03  17:50:00,32.04456816296009 
 05/03  18:00:00,32.11032805887444 
 05/03  18:10:00,30.59342652247267 
 05/03  18:20:00,30.13449307065377 
 05/03  18:30:00,29.879085460028749 
 05/03  18:40:00,29.371824958444415 
 05/03  18:50:00,29.118989960359668 
 05/03  19:00:00,29.05971114833915 
 05/03  19:10:00,29.03995538923168 
 05/03  19:20:00,28.97719450569435 
 05/03  19:30:00,28.871964987970814 
 05/03  19:40:00,28.754829185115886 
 05/03  19:50:00,28.571271055796733 
 05/03  20:00:00,28.461426895675616 
 05/03  20:10:00,28.38127579691033 
 05/03  20:20:00,28.288297901104508 
 05/03  20:30:00,28.12565532691302 
 05/03  20:40:00,27.85686063559018 
 05/03  20:50:00,27.849608783382707 
 05/03  21:00:00,27.76342175641929 
 05/03  21:10:00,27.739378036794226 
 05/03  21:20:00,27.68940681978652 
 05/03  21:30:00,27.555461912140957 
 05/03  21:40:00,27.45749643514166 
 05/03  21:50:00,27.457303568748566 
 05/03  22:00:00,27.429216487235853 
 05/03  22:10:00,27.500329805548213 
 05/03  22:20:00,27.46416456767019 
 05/03  22:30:00,27.402681255864264 
 05/03  22:40:00,27.435104096268199 
 05/03  22:50:00,27.42608364989786 
 05/03  23:00:00,27.382083952126494 
 05/03  23:10:00,27.364616541358307 
 05/03  23:20:00,27.346252843468407 
 05/03  23:30:00,27.279264273273374 
 05/03  23:40:00,27.227231746564546 
 05/03  23:50:00,27.13855236961802 
 05/03  24:00:00,27.079867889525134 
 05/04  00:10:00,27.143825331336357 
 05/04  00:20:00,27.149197472972405 
 05/04  00:30:00,27.063972145258878 
 05/04  00:40:00,26.92495332105214 
 05/04  00:50:00,26.864399927202489 
 05/04  01:00:00,26.861944876904489 
 05/04  01:10:00,26.88112518525423 
 05/04  01:20:00,26.854216429176956 
 05/04  01:30:00,26.828804041856825 
 05/04  01:40:00,26.778147520654956 
 05/04  01:50:00,26.71782870404734 
 05/04  02:00:00,26.666080060153985 
 05/04  02:10:00,26.640188572125355 
 05/04  02:20:00,26.555716909409587 
 05/04  02:30:00,26.52188730595695 
 05/04  02:40:00,26.411102649888677 
 05/04  02:50:00,26.30170755375371 
 05/04  03:00:00,26.27927151517227 
 05/04  03:10:00,26.207085885111146 
 05/04  03:20:00,26.103855969153114 
 05/04  03:30:00,26.038657555963366 
 05/04  03:40:00,25.943695037172288 
 05/04  03:50:00,25.858538471633918 
 05/04  04:00:00,25.8432063670422 
 05/04  04:10:00,25.76433175037588 
 05/04  04:20:00,25.672712802549886 
 05/04  04:30:00,25.58387482308294 
 05/04  04:40:00,25.540148603065309 
 05/04  04:50:00,25.515522789032987 
 05/04  05:00:00,25.452858636837897 
 05/04  05:10:00,25.424776495548366 
 05/04  05:20:00,25.257731392799465 
 05/04  05:30:00,25.19238864281856 
 05/04  05:40:00,25.009006979969706 
 05/04  05:50:00,24.835971989345457 
 05/04  06:00:00,24.806981310001196 
 05/04  06:10:00,24.918169137128836 
 05/04  06:20:00,25.041935847571098 
 05/04  06:30:00,24.955020758969679 
 05/04  06:40:00,24.994438123448377 
 05/04  06:50:00,25.044703339978214 
 05/04  07:00:00,25.07573592018767 
 05/04  07:10:00,25.082513756084276 
 05/04  07:20:00,25.063798447185698 
 05/04  07:30:00,25.038415768799273 
 05/04  07:40:00,25.07585685461347 
 05/04  07:50:00,25.17849394663084 
 05/04  08:00:00,25.33768162498635 
 05/04  08:10:00,25.40872120466699 
 05/04  08:20:00,25.488940408374427 
 05/04  08:30:00,25.623397549847949 
 05/04  08:40:00,25.765943049491509 
 05/04  08:50:00,25.88604194850596 
 05/04  09:00:00,25.94890140710076 
 05/04  09:10:00,28.063593454912764 
 05/04  09:20:00,28.28690833931433 
 05/04  09:30:00,28.581890383742903 
 05/04  09:40:00,29.02461499519842 
 05/04  09:50:00,29.179299048072687 
 05/04  10:00:00,29.232686471182427 
 05/04  10:10:00,29.31632674157283 
 05/04  10:20:00,29.418804704181427 
 05/04  10:30:00,29.50362927910682 
 05/04  10:40:00,29.64589100708679 
 05/04  10:50:00,29.776367684358897 
 05/04  11:00:00,29.888762244790138 
 05/04  11:10:00,30.06162176583833 
 05/04  11:20:00,30.216592094433147 
 05/04  11:30:00,30.354692622229654 
 05/04  11:40:00,30.547965478974719 
 05/04  11:50:00,30.607181680776617 
 05/04  12:00:00,30.646346676949503 
 05/04  12:10:00,30.797786887656974 
 05/04  12:20:00,30.997827006075988 
 05/04  12:30:00,31.114684884318089 
 05/04  12:40:00,31.233560769918495 
 05/04  12:50:00,31.33090528001626 
 05/04  13:00:00,31.473757833700878 
 05/04  13:10:00,31.563698844593377 
 05/04  13:20:00,31.630503002242706 
 05/04  13:30:00,31.677186948419207 
 05/04  13:40:00,31.724183223625209 
 05/04  13:50:00,31.763392323060324 
 05/04  14:00:00,31.927705007639085 
 05/04  14:10:00,31.96878100662673 
 05/04  14:20:00,31.939085141145229 
 05/04  14:30:00,31.9535147500401 
 05/04  14:40:00,31.951914088872138 
 05/04  14:50:00,31.977694995144025 
 05/04  15:00:00,32.070787184586347 
 05/04  15:10:00,32.23074932123802 
 05/04  15:20:00,32.38489188170949 
 05/04  15:30:00,32.52316055194893 
 05/04  15:40:00,32.699948611789448 
 05/04  15:50:00,32.729752834113778 
 05/04  16:00:00,32.721773602138039 
 05/04  16:10:00,32.76163852901834 
 05/04  16:20:00,32.83968330582526 
 05/04  16:30:00,32.80152578837979 
 05/04  16:40:00,32.8521301551055 
 05/04  16:50:00,32.83195716994469 
 05/04  17:00:00,32.81095646344689 
 05/04  17:10:00,32.77242151608323 
 05/04  17:20:00,32.788510851540937 
 05/04  17:30:00,32.83529029719744 
 05/04  17:40:00,32.91202387725442 
 05/04  17:50:00,32.969543569816668 
 05/04  18:00:00,32.92980443248945 
 05/04  18:10:00,31.425664857022356 
 05/04  18:20:00,30.926020623640459 
 05/04  18:30:00,30.724002736941526 
 05/04  18:40:00,30.24188611189615 
 05/04  18:50:00,30.094424605353738 
 05/04  19:00:00,30.041008998407766 
 05/04  19:10:00,29.97098043526729 
 05/04  19:20:00,29.869368489008847 
 05/04  19:30:00,29.76491779178858 
 05/04  19:40:00,29.677407445318996 
 05/04  19:50:00,29.60081730031846 
 05/04  20:00:00,29.543522789671994 
 05/04  20:10:00,29.490203668697786 
 05/04  20:20:00,29.440332645515278 
 05/04  20:30:00,29.381670170990586 
 05/04  20:40:00,29.338197395463696 
 05/04  20:50:00,29.29642398911209 
 05/04  21:00:00,29.230854926561354 
 05/04  21:10:00,29.151257956175067 
 05/04  21:20:00,29.081202621054236 
 05/04  21:30:00,28.982768441744797 
 05/04  21:40:00,28.939661087902004 
 05/04  21:50:00,28.909544440235956 
 05/04  22:00:00,28.888794228203709 
 05/04  22:10:00,28.844200571175553 
 05/04  22:20:00,28.784939118113507 
 05/04  22:30:00,28.710996792997088 
 05/04  22:40:00,28.65464351174193 
 05/04  22:50:00,28.57207015372524 
 05/04  23:00:00,28.508032142065067 
 05/04  23:10:00,28.475592465064243 
 05/04  23:20:00,28.424389505546686 
 05/04  23:30:00,28.374739749761898 
 05/04  23:40:00,28.331224575051583 
 05/04  23:50:00,28.270777546666467 
 05/04  24:00:00,28.178280921118785 
 05/05  00:10:00,28.08339429525658 
 05/05  00:20:00,28.05377773936704 
 05/05  00:30:00,28.001665005720608 
 05/05  00:40:00,27.96403661453538 
 05/05  00:50:00,27.903355882604545 
 05/05  01:00:00,27.859538779346317 
 05/05  01:10:00,27.803570176430424 
 05/05  01:20:00,27.731625524730459 
 05/05  01:30:00,27.632276641152854 
 05/05  01:40:00,27.43599728245675 
 05/05  01:50:00,27.205263304090008 
 05/05  02:00:00,27.099333950617316 
 05/05  02:10:00,27.03876093281051 
 05/05  02:20:00,26.963680064879239 
 05/05  02:30:00,26.865461941137526 
 05/05  02:40:00,26.738212186790706 
 05/05  02:50:00,26.688007280932717 
 05/05  03:00:00,26.56956655811562 
 05/05  03:10:00,26.52098483401195 
 05/05  03:20:00,26.539194587475877 
 05/05  03:30:00,26.51497584050396 
 05/05  03:40:00,26.44817340500091 
 05/05  03:50:00,26.40361991971243 
 05/05  04:00:00,26.402412385241499 
 05/05  04:10:00,26.414260206268275 
 05/05  04:20:00,26.38988432206727 
 05/05  04:30:00,26.278390156855246 
 05/05  04:40:00,26.178141204403795 
 05/05  04:50:00,26.13824091518799 
 05/05  05:00:00,26.114513411309795 
 05/05  05:10:00,26.03805167322214 
 05/05  05:20:00,26.042651284402465 
 05/05  05:30:00,26.04588706991554 
 05/05  05:40:00,26.002744893825409 
 05/05  05:50:00,25.925711738790665 
 05/05  06:00:00,25.841187367253477 
 05/05  06:10:00,25.762499855085193 
 05/05  06:20:00,25.66949195234968 
 05/05  06:30:00,25.55883530956825 
 05/05  06:40:00,25.515282708331879 
 05/05  06:50:00,25.527710234783798 
 05/05  07:00:00,25.50082425925043 
 05/05  07:10:00,25.43114270237519 
 05/05  07:20:00,25.40567953894241 
 05/05  07:30:00,25.50477807554462 
 05/05  07:40:00,25.632112236793085 
 05/05  07:50:00,25.8455517932221 
 05/05  08:00:00,25.995925736849228 
 05/05  08:10:00,26.058744395629675 
 05/05  08:20:00,26.191885491399295 
 05/05  08:30:00,26.348617232343476 
 05/05  08:40:00,26.484379105958028 
 05/05  08:50:00,26.575162858896879 
 05/05  09:00:00,26.627115262786864 
 05/05  09:10:00,28.88334458169535 
 05/05  09:20:00,29.167364399559646 
 05/05  09:30:00,29.49477560848119 
 05/05  09:40:00,29.971655086741785 
 05/05  09:50:00,30.154722442034239 
 05/05  10:00:00,30.130129081015398 
 05/05  10:10:00,30.13860108452148 
 05/05  10:20:00,30.307473583145936 
 05/05  10:30:00,30.46037376909862 
 05/05  10:40:00,30.523156590374947 
 05/05  10:50:00,30.69609193742457 
 05/05  11:00:00,30.821400424965625 
 05/05  11:10:00,30.893934403785435 
 05/05  11:20:00,30.973971141483433 
 05/05  11:30:00,31.07471349975591 
 05/05  11:40:00,31.2267275450151 
 05/05  11:50:00,31.3672555828352 
 05/05  12:00:00,31.45918989792387 
 05/05  12:10:00,31.513141965539626 
 05/05  12:20:00,31.63975335398288 
 05/05  12:30:00,31.824306627993445 
 05/05  12:40:00,31.884485211446834 
 05/05  12:50:00,32.012171500011898 
 05/05  13:00:00,32.07072662786473 
 05/05  13:10:00,32.08715005628167 
 05/05  13:20:00,32.23128554748818 
 05/05  13:30:00,32.338363105441647 
 05/05  13:40:00,32.41611616058597 
 05/05  13:50:00,32.57097861381583 
 05/05  14:00:00,32.62340468676328 
 05/05  14:10:00,32.62750644650525 
 05/05  14:20:00,32.64852115715483 
 05/05  14:30:00,32.718512856117587 
 05/05  14:40:00,32.80787677162056 
 05/05  14:50:00,32.97266106653031 
 05/05  15:00:00,33.03868245340374 
 05/05  15:10:00,33.11193553093101 
 05/05  15:20:00,33.236083334526927 
 05/05  15:30:00,33.32744915208933 
 05/05  15:40:00,33.39934585239898 
 05/05  15:50:00,33.57590063113929 
 05/05  16:00:00,33.55516288071783 
 05/05  16:10:00,33.533627379139549 
 05/05  16:20:00,33.58111506892111 
 05/05  16:30:00,33.617864654121799 
 05/05  16:40:00,33.57952734103084 
 05/05  16:50:00,33.52188461208776 
 05/05  17:00:00,33.48680263481312 
 05/05  17:10:00,33.52278315669191 
 05/05  17:20:00,33.61192241604077 
 05/05  17:30:00,33.71905518192378 
 05/05  17:40:00,33.75718395859022 
 05/05  17:50:00,33.776108023814817 
 05/05  18:00:00,33.74779932048219 
 05/05  18:10:00,32.30182384718392 
 05/05  18:20:00,31.87197485294132 
 05/05  18:30:00,31.674376153233234 
 05/05  18:40:00,31.404904827883326 
 05/05  18:50:00,31.353492333780986 
 05/05  19:00:00,31.186942820410605 
 05/05  19:10:00,31.002055643969319 
 05/05  19:20:00,30.867792484474096 
 05/05  19:30:00,30.80376241195467 
 05/05  19:40:00,30.748381426924575 
 05/05  19:50:00,30.70983774423499 
 05/05  20:00:00,30.60842123373215 
 05/05  20:10:00,30.51068240389926 
 05/05  20:20:00,30.427972755095245 
 05/05  20:30:00,30.341226747176767 
 05/05  20:40:00,30.233806401186933 
 05/05  20:50:00,30.114978734418395 
 05/05  21:00:00,29.995085132969075 
 05/05  21:10:00,29.878770783085309 
 05/05  21:20:00,29.762602200868593 
 05/05  21:30:00,29.715032133379979 
 05/05  21:40:00,29.6813895270063 
 05/05  21:50:00,29.617441674784119 
 05/05  22:00:00,29.547888271895017 
 05/05  22:10:00,29.549068259121783 
 05/05  22:20:00,29.477022709079877 
 05/05  22:30:00,29.361406020166258 
 05/05  22:40:00,29.249504809504506 
 05/05  22:50:00,29.164817453752876 
 05/05  23:00:00,29.08937166653854 
 05/05  23:10:00,29.012919253479475 
 05/05  23:20:00,28.905360104367298 
 05/05  23:30:00,28.81309535193254 
 05/05  23:40:00,28.74662524558687 
 05/05  23:50:00,28.66389710885758 
 05/05  24:00:00,28.503633962721243 
 05/06  00:10:00,28.394072464880894 
 05/06  00:20:00,28.288335388419804 
 05/06  00:30:00,28.20210844777062 
 05/06  00:40:00,28.139639326806877 
 05/06  00:50:00,28.077006583545115 
 05/06  01:00:00,28.01241293886072 
 05/06  01:10:00,27.940190131155778 
