Date/Time,THERMAL ZONE: JORGE:Zone Mean Air Temperature [C](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/03  00:10:00,25.510915863919224,-1.3611081574225704,43.45081067577391 
 05/03  00:20:00,25.546960174590848,-1.3647689682453439,43.643737154800728 
 05/03  00:30:00,25.712413005641193,-1.3194316046740993,41.272130600122007 
 05/03  00:40:00,25.676519291136278,-1.3416463066251506,42.42924712821653 
 05/03  00:50:00,25.462456138701027,-1.4191475341550637,46.53489509097946 
 05/03  01:00:00,25.18624863655177,-1.5166004682218582,51.80262571584855 
 05/03  01:10:00,24.961313362730288,-1.6050195110291739,56.61843030968643 
 05/03  01:20:00,24.74979795207235,-1.685063423945027,60.95048318654175 
 05/03  01:30:00,24.419725120359389,-1.8049966165604284,67.27802792395446 
 05/03  01:40:00,24.257407139804515,-1.873065422015562,70.72623126107446 
 05/03  01:50:00,24.282319921201265,-1.8804586469227052,71.09281372281322 
 05/03  02:00:00,24.396732621729578,-1.8593152621864298,70.0400742838318 
 05/03  02:10:00,24.4583941686904,-1.8532498554321338,69.73563962678995 
 05/03  02:20:00,24.75385017590005,-1.7772470434299288,65.83866802605648 
 05/03  02:30:00,25.006972900606049,-1.7092522807409719,62.246427440088 
 05/03  02:40:00,24.883379107485206,-1.7588688821658423,64.87620397926637 
 05/03  02:50:00,24.803982681638268,-1.793473364689128,66.68245311581433 
 05/03  03:00:00,24.752592503525965,-1.8240409166731988,68.2552563135115 
 05/03  03:10:00,24.661556608928906,-1.8643862952024828,70.29377956959834 
 05/03  03:20:00,24.465680999063076,-1.9342247328165768,73.7056969468517 
 05/03  03:30:00,24.458623120031264,-1.9562313975377297,74.74634469451745 
 05/03  03:40:00,23.963441112207677,-2.125404948122739,82.09070223208002 
 05/03  03:50:00,23.40347855991881,-2.3324345712984284,89.2373564778472 
 05/03  04:00:00,23.278907123227378,-2.3942516550680787,90.94829891956701 
 05/03  04:10:00,23.19613147707829,-2.436809087645744,92.01391714166515 
 05/03  04:20:00,23.546442520993059,-2.343691436350111,89.56344432957735 
 05/03  04:30:00,23.81940759157803,-2.260557960675855,87.00193340184089 
 05/03  04:40:00,24.047708665554258,-2.1991941544475526,84.88476465630292 
 05/03  04:50:00,23.88820257066756,-2.2500259908792019,86.65214467265129 
 05/03  05:00:00,23.45962250221468,-2.401387074554996,91.13329895025893 
 05/03  05:10:00,23.128396088894705,-2.518766475269043,93.8161508733593 
 05/03  05:20:00,22.87217942772839,-2.6304701781142696,95.77590419084004 
 05/03  05:30:00,22.875754413209987,-2.6430862680466857,95.96386322095995 
 05/03  05:40:00,22.54468015776442,-2.7727088528404368,97.54795516317224 
 05/03  05:50:00,22.31523191517678,-2.8630932021323467,98.32701337855926 
 05/03  06:00:00,22.197225980653565,-2.918192174205646,98.69436293609189 
 05/03  06:10:00,22.34451992957492,-2.882771451973492,98.46675090228553 
 05/03  06:20:00,22.63561906843475,-2.7943265665507477,97.75620574666657 
 05/03  06:30:00,22.900365544501566,-2.718971399169329,96.96427496626294 
 05/03  06:40:00,22.184300737834826,-2.9607140351402956,98.93031223809693 
 05/03  06:50:00,21.95275515071324,-3.051663554969543,99.31836043917575 
 05/03  07:00:00,22.787784920070739,-2.783435958830439,97.65311600343327 
 05/03  07:10:00,23.0177108608945,-2.692540231438105,96.64033534463185 
 05/03  07:20:00,22.55213886346521,-2.8450196913843399,98.18978675639488 
 05/03  07:30:00,22.6855233178808,-2.795719257233293,97.76912616420987 
 05/03  07:40:00,22.946184851473288,-2.6990439097853389,96.722399370102 
 05/03  07:50:00,23.23111478315796,-2.588637531276443,95.10561604038407 
 05/03  08:00:00,23.83370312187637,-2.3775824486862224,90.50609027729175 
 05/03  08:10:00,24.309018944150645,-2.1922079391629989,84.63169998499902 
 05/03  08:20:00,24.5320478888625,-2.1085250762408376,81.41468492027278 
 05/03  08:30:00,24.796968852686456,-2.014829530900977,77.42745797193128 
 05/03  08:40:00,25.040749703657988,-1.9226033010041355,73.14916745072127 
 05/03  08:50:00,25.22579126722923,-1.8390868620045289,69.02072121932015 
 05/03  09:00:00,25.371220077111948,-1.7721774977134975,65.57387223510301 
 05/03  09:10:00,27.427780789386277,0.005104429034373865,5.000539356211334 
 05/03  09:20:00,27.621635929177807,0.09371405962254852,5.181869891484951 
 05/03  09:30:00,27.96432029424414,0.17947061303906304,5.667704082959787 
 05/03  09:40:00,28.456281127242457,0.31314713015374637,7.038358741361719 
 05/03  09:50:00,28.514973898395387,0.35351050872982178,7.600428032148329 
 05/03  10:00:00,28.40751782689964,0.3407774421755408,7.415648328069025 
 05/03  10:10:00,28.183196141073844,0.2877587662839093,6.7201836325130419 
 05/03  10:20:00,28.56803327018125,0.38006030123266318,8.007913716320559 
 05/03  10:30:00,29.00345888288563,0.5026597822473297,10.281211162112286 
 05/03  10:40:00,29.097990386885486,0.5477353897948242,11.279955402471544 
 05/03  10:50:00,29.094642331971099,0.5593801034949217,11.552272973486936 
 05/03  11:00:00,29.25697403422125,0.6110474002761275,12.831489692338295 
 05/03  11:10:00,29.413900681458359,0.6656982531648251,14.310629226933159 
 05/03  11:20:00,29.52256792541928,0.6961184629202589,15.190018639747862 
 05/03  11:30:00,29.79301580725962,0.7805696784531176,17.840262780792544 
 05/03  11:40:00,29.93463615715939,0.823914619020059,19.31864774662145 
 05/03  11:50:00,30.18449414343651,0.8963261435912705,21.96371664321468 
 05/03  12:00:00,30.43044427757789,0.9687435508046163,24.82225793810983 
 05/03  12:10:00,30.761391626420648,1.0694639357126497,29.13404680108971 
 05/03  12:20:00,30.835855324464324,1.107750857929507,30.86925308549459 
 05/03  12:30:00,30.849692356144943,1.1374672622925933,32.25018654628687 
 05/03  12:40:00,30.918473811734669,1.1415481301410476,32.442079078309948 
 05/03  12:50:00,31.04315195210093,1.1567025708746737,33.15932130814497 
 05/03  13:00:00,31.151066044516698,1.1941419257909459,34.96166283069887 
 05/03  13:10:00,31.206510831221278,1.2461852830229457,37.53431298652902 
 05/03  13:20:00,31.418299667805959,1.331119487445856,41.87969178887847 
 05/03  13:30:00,31.533837092800224,1.3762800821832644,44.25188419873705 
 05/03  13:40:00,31.563787545482179,1.3995049687571233,45.485424511434938 
 05/03  13:50:00,32.02185868006709,1.5067590817906416,51.26742848962263 
