Date/Time,THERMAL ZONE: JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,26.856013282631815 
 05/03  00:20:00,26.746286625649185 
 05/03  00:30:00,26.696996011491913 
 05/03  00:40:00,26.655131022488438 
 05/03  00:50:00,26.584109784862169 
 05/03  01:00:00,26.468277435751639 
 05/03  01:10:00,26.35786084029379 
 05/03  01:20:00,26.287387403461709 
 05/03  01:30:00,26.12691994684567 
 05/03  01:40:00,26.047629517189998 
 05/03  01:50:00,25.998823127706065 
 05/03  02:00:00,25.994240901567779 
 05/03  02:10:00,25.979643618291207 
 05/03  02:20:00,26.015010047688955 
 05/03  02:30:00,26.028413142518628 
 05/03  02:40:00,25.969998837958458 
 05/03  02:50:00,25.914716724316578 
 05/03  03:00:00,25.857824251536905 
 05/03  03:10:00,25.804347491956507 
 05/03  03:20:00,25.733662217398999 
 05/03  03:30:00,25.70346467231908 
 05/03  03:40:00,25.53347246517022 
 05/03  03:50:00,25.30293996783449 
 05/03  04:00:00,25.17147321479312 
 05/03  04:10:00,25.127634884086207 
 05/03  04:20:00,25.177915081167546 
 05/03  04:30:00,25.22761262548212 
 05/03  04:40:00,25.255681913636164 
 05/03  04:50:00,25.226795997934255 
 05/03  05:00:00,25.095159360605679 
 05/03  05:10:00,24.970142629187277 
 05/03  05:20:00,24.793435462425728 
 05/03  05:30:00,24.710732069561627 
 05/03  05:40:00,24.58433546360001 
 05/03  05:50:00,24.46328101861786 
 05/03  06:00:00,24.369118055290494 
 05/03  06:10:00,24.362380625771299 
 05/03  06:20:00,24.439224247307345 
 05/03  06:30:00,24.472851565968463 
 05/03  06:40:00,24.307383265928757 
 05/03  06:50:00,24.19039385284412 
 05/03  07:00:00,24.367460419155507 
 05/03  07:10:00,24.497831661685795 
 05/03  07:20:00,24.397577882362748 
 05/03  07:30:00,24.439442779866828 
 05/03  07:40:00,24.53599225448025 
 05/03  07:50:00,24.678961591676946 
 05/03  08:00:00,24.883940149483498 
 05/03  08:10:00,25.051833247733794 
 05/03  08:20:00,25.223894713506476 
 05/03  08:30:00,25.35498681859099 
 05/03  08:40:00,25.439194502349129 
 05/03  08:50:00,25.516637673819344 
 05/03  09:00:00,25.597575330086749 
 05/03  09:10:00,27.424072257084619 
 05/03  09:20:00,27.812298529307264 
 05/03  09:30:00,28.081016713105336 
 05/03  09:40:00,28.563388468776318 
 05/03  09:50:00,28.747039393906218 
 05/03  10:00:00,28.749515464709938 
 05/03  10:10:00,28.743685319551078 
 05/03  10:20:00,28.90413303351097 
 05/03  10:30:00,29.08505610999129 
 05/03  10:40:00,29.216030475508704 
 05/03  10:50:00,29.312832079055349 
 05/03  11:00:00,29.400221640246014 
 05/03  11:10:00,29.556596911238807 
 05/03  11:20:00,29.652538923470293 
 05/03  11:30:00,29.86797917493105 
 05/03  11:40:00,29.974685351381305 
 05/03  11:50:00,30.145276955223105 
 05/03  12:00:00,30.301783162993077 
 05/03  12:10:00,30.48677942996764 
 05/03  12:20:00,30.61949065221165 
 05/03  12:30:00,30.721814469640518 
 05/03  12:40:00,30.8262651651454 
 05/03  12:50:00,30.947664846747484 
 05/03  13:00:00,30.99818409221491 
 05/03  13:10:00,30.9964396934552 
 05/03  13:20:00,31.12500327636922 
 05/03  13:30:00,31.279269129722804 
 05/03  13:40:00,31.388884028018599 
 05/03  13:50:00,31.553263309630489 
 05/03  14:00:00,31.823087875231594 
 05/03  14:10:00,31.692981719864777 
 05/03  14:20:00,31.72507598738894 
 05/03  14:30:00,31.91370002144487 
 05/03  14:40:00,32.04081366025645 
 05/03  14:50:00,32.1314239461426 
 05/03  15:00:00,32.24453081439068 
 05/03  15:10:00,32.35938889846476 
 05/03  15:20:00,32.46661298280666 
 05/03  15:30:00,32.5010425879306 
 05/03  15:40:00,32.52418494382784 
 05/03  15:50:00,32.604288959093739 
 05/03  16:00:00,32.48099618416872 
 05/03  16:10:00,32.316412517628148 
 05/03  16:20:00,32.17476214786667 
 05/03  16:30:00,31.99689225756837 
 05/03  16:40:00,31.825658895372194 
 05/03  16:50:00,31.756346791409347 
 05/03  17:00:00,31.811730371777146 
 05/03  17:10:00,31.77624721271129 
 05/03  17:20:00,31.721707094373487 
