Date/Time,THERMAL ZONE: JORGE:Zone Mean Air Temperature [C](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/03  00:10:00,26.489590193605609,-1.1265047794493027,31.737371986750973 
 05/03  00:20:00,26.378002145456706,-1.1654182694077598,33.57508863030645 
 05/03  00:30:00,26.34419275887667,-1.1789718793384015,34.22627436338752 
 05/03  00:40:00,26.32646491708538,-1.1928266459747366,34.897634006373127 
 05/03  00:50:00,26.28212288006933,-1.2129597019802805,35.88319223987003 
 05/03  01:00:00,26.19420075525971,-1.246137077787753,37.53189609948529 
 05/03  01:10:00,26.109665331806576,-1.2790565388841997,39.19607829723395 
 05/03  01:20:00,26.055315186547199,-1.3036455352322419,40.45609766424446 
 05/03  01:30:00,25.929498280278918,-1.3489699372111855,42.81284331871277 
 05/03  01:40:00,25.86884165729795,-1.37292749237353,44.07453100856673 
 05/03  01:50:00,25.845489282452918,-1.3841054659801087,44.66656750549248 
 05/03  02:00:00,25.861665378006888,-1.387248746628284,44.83341267674644 
 05/03  02:10:00,25.8664574686712,-1.394208513999684,45.20338289907529 
 05/03  02:20:00,25.920615106041099,-1.3834272304337092,44.63058731152998 
 05/03  02:30:00,25.96342419972962,-1.3748362224244518,44.17548054798243 
 05/03  02:40:00,25.93698867958375,-1.3903239172298395,44.99679211496544 
 05/03  02:50:00,25.90934382049605,-1.402214634707771,45.62987640309724 
 05/03  03:00:00,25.875922287601339,-1.42059573212947,46.6124758779105 
 05/03  03:10:00,25.844713224942234,-1.4369305622186895,47.48934548974295 
 05/03  03:20:00,25.795981672182209,-1.4558883141388635,48.51081432594179 
 05/03  03:30:00,25.77824223394976,-1.4717384018478346,49.36755569696959 
 05/03  03:40:00,25.637454844180988,-1.5241394551800563,52.21289290396428 
 05/03  03:50:00,25.434988667518334,-1.600483052630541,56.37159967099607 
 05/03  04:00:00,25.33014497422263,-1.6404791978138585,58.54400033922597 
 05/03  04:10:00,25.285178319095125,-1.6661758271967189,59.93347975665098 
 05/03  04:20:00,25.36612620990293,-1.649577168498885,59.03663094152965 
 05/03  04:30:00,25.447404877005757,-1.6271222210333403,57.81959771019743 
 05/03  04:40:00,25.494162034923599,-1.6179886777146536,57.32356310946656 
 05/03  04:50:00,25.469803829401195,-1.6262477764521306,57.772129812993217 
 05/03  05:00:00,25.352902348996176,-1.6742823205307969,60.370469110792367 
 05/03  05:10:00,25.24503611922962,-1.713885729123001,62.49372986124628 
 05/03  05:20:00,25.109826536180284,-1.7742088208414698,65.68003883679138 
 05/03  05:30:00,25.063502179304729,-1.7945044139140579,66.73586881428949 
 05/03  05:40:00,24.961025625635445,-1.844548519508329,69.29707551809178 
 05/03  05:50:00,24.860000124993506,-1.8814848285606146,71.14356264118644 
 05/03  06:00:00,24.78735636900778,-1.9133302460588582,72.70174966948145 
 05/03  06:10:00,24.804662343782846,-1.911913352666583,72.63312855482568 
 05/03  06:20:00,24.901454827713324,-1.8818921554714943,71.1636975865696 
 05/03  06:30:00,24.9412790558983,-1.8772785632865908,70.93533899218572 
 05/03  06:40:00,24.7766569512786,-1.9380145502256317,73.88615586120835 
 05/03  06:50:00,24.687764655357904,-1.966141264928246,75.20913457663213 
 05/03  07:00:00,24.887078780494759,-1.8928816048974687,71.70496293444305 
 05/03  07:10:00,25.03273753974827,-1.84119387009874,69.12743072684504 
 05/03  07:20:00,24.933423684606713,-1.8689776989471159,70.5228344455684 
