Date/Time,THERMAL ZONE: JORGE:Zone Mean Air Temperature [C](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/03  00:10:00,27.205089172305195,-28.115887564447,100.0 
 05/03  00:20:00,27.03006417062338,-28.49441449295543,100.0 
 05/03  00:30:00,26.92203875695432,-28.75491155564888,100.0 
 05/03  00:40:00,26.858204084174799,-28.970032190741877,100.0 
 05/03  00:50:00,26.806019680665107,-29.155382785250329,100.0 
 05/03  01:00:00,26.74307048658422,-29.363136280723457,100.0 
 05/03  01:10:00,26.673740597179895,-29.581784850177657,100.0 
 05/03  01:20:00,26.631174805546786,-29.7487625344528,100.0 
 05/03  01:30:00,26.53501335740101,-30.022160482954246,100.0 
 05/03  01:40:00,26.498389661217705,-30.164184797772668,100.0 
 05/03  01:50:00,26.456882199697217,-30.307356184384707,100.0 
 05/03  02:00:00,26.415081449613134,-30.468924449695117,100.0 
 05/03  02:10:00,26.36894356276899,-30.645989268337634,100.0 
 05/03  02:20:00,26.33399357247024,-30.77643027337811,100.0 
 05/03  02:30:00,26.280570176829007,-30.94160215592827,100.0 
 05/03  02:40:00,26.210597244191925,-31.16038808578371,100.0 
 05/03  02:50:00,26.154413924593034,-31.33132924336483,100.0 
 05/03  03:00:00,26.100803705512698,-31.526292846346214,100.0 
 05/03  03:10:00,26.04765238831087,-31.709308891237737,100.0 
 05/03  03:20:00,26.001765985553594,-31.86519154687624,100.0 
 05/03  03:30:00,25.968184545650695,-32.02216977949684,100.0 
 05/03  03:40:00,25.874952069621693,-32.29606089662642,100.0 
 05/03  03:50:00,25.768065219944395,-32.61747795541821,100.0 
 05/03  04:00:00,25.688526735749034,-32.84116638108781,100.0 
 05/03  04:10:00,25.65401705206369,-33.00014760573396,100.0 
 05/03  04:20:00,25.622919769410275,-33.131951760748908,100.0 
 05/03  04:30:00,25.58605856668527,-33.2570086918141,100.0 
 05/03  04:40:00,25.541941482154788,-33.408271973235127,100.0 
 05/03  04:50:00,25.528624313486938,-33.48048062683555,100.0 
 05/03  05:00:00,25.465057727397278,-33.709771699271957,100.0 
 05/03  05:10:00,25.402120801567123,-33.90362695018343,100.0 
 05/03  05:20:00,25.27660429246034,-34.28365933677002,100.0 
 05/03  05:30:00,25.184109958764329,-34.5333037109169,100.0 
 05/03  05:40:00,25.082228487519534,-34.87362762585984,100.0 
 05/03  05:50:00,24.99912482969323,-35.10508755990585,100.0 
 05/03  06:00:00,24.933316120486745,-35.323777393784208,100.0 
 05/03  06:10:00,24.897064496930388,-35.45378901672562,100.0 
 05/03  06:20:00,24.893941387208075,-35.500279066947417,100.0 
 05/03  06:30:00,24.87467426380263,-35.618606575703967,100.0 
 05/03  06:40:00,24.802839274878907,-35.85583875902359,100.0 
 05/03  06:50:00,24.741468841015256,-36.006260823545179,100.0 
 05/03  07:00:00,24.780810199009346,-35.89350280937453,100.0 
 05/03  07:10:00,24.81329796970199,-35.8443275610211,100.0 
 05/03  07:20:00,24.794558415358016,-35.90446646597115,100.0 
 05/03  07:30:00,24.830949752875868,-35.784340854669057,100.0 
 05/03  07:40:00,24.881554272097838,-35.631764318077049,100.0 
 05/03  07:50:00,24.979790573969717,-35.36115121412098,100.0 
 05/03  08:00:00,25.11752627509262,-34.99800807648145,100.0 
 05/03  08:10:00,25.224537074272008,-34.62017730176799,100.0 
 05/03  08:20:00,25.34351442041133,-34.35935916031841,100.0 
 05/03  08:30:00,25.44248427209301,-34.128001173761997,100.0 
 05/03  08:40:00,25.516433369438933,-33.91412925402026,100.0 
 05/03  08:50:00,25.591694400683875,-33.66248233331724,100.0 
 05/03  09:00:00,25.67299977938649,-33.41775416929908,100.0 
 05/03  09:10:00,27.719447071223429,0.30919411008599326,6.987026347645823 
 05/03  09:20:00,28.09205240164087,0.4327543708827718,8.905867281276386 
 05/03  09:30:00,28.372519791460968,0.5027536585941651,10.28319984016538 
 05/03  09:40:00,28.870429398460105,0.6315439271667217,13.371051783309526 
 05/03  09:50:00,29.065707605574759,0.6999386720875792,15.30328072972533 
 05/03  10:00:00,29.07111116055202,0.7206273926611665,15.927599965550101 
 05/03  10:10:00,29.105890106247359,0.7420804002863319,16.594441777284247 
 05/03  10:20:00,29.24652459715041,0.8023950781678538,18.5747415825891 
 05/03  10:30:00,29.39038334723733,0.8615862606568729,20.667640244397647 
 05/03  10:40:00,29.50894629640905,0.912996400825485,22.6031476848721 
 05/03  10:50:00,29.61242916150746,0.9605596368765972,24.488799670164469 
 05/03  11:00:00,29.694489308692057,0.9972310859304521,26.003207999927967 
 05/03  11:10:00,29.858183343999273,1.0621055277904217,28.806419681415279 
 05/03  11:20:00,29.944802429531415,1.093899873288989,30.235678877625888 
 05/03  11:30:00,30.150598805629188,1.1761090997209068,34.08826705342533 
 05/03  11:40:00,30.25062740213466,1.217663226261387,36.115098580800808 
 05/03  11:50:00,30.40919149718644,1.2815314551193143,39.32226640715631 
 05/03  12:00:00,30.55330425316435,1.3382514072184513,42.251778081731519 
 05/03  12:10:00,30.715003563449998,1.4042649745622107,45.73925007286247 
 05/03  12:20:00,30.849453090487676,1.4477593026731542,48.07234756698916 
 05/03  12:30:00,30.959058772715069,1.4940380323700565,50.57637607584011 
 05/03  12:40:00,31.060578860123458,1.539447082223401,53.046491665738319 
 05/03  12:50:00,31.178111705616919,1.5826400962578058,55.400065149943518 
 05/03  13:00:00,31.22580103196139,1.5993350131504403,56.30912126187356 
 05/03  13:10:00,31.217102975899477,1.625437836802424,57.728159066989459 
 05/03  13:20:00,31.333140693421766,1.6922807993809964,61.33797981896031 
 05/03  13:30:00,31.4921046368747,1.750752283642866,64.44899333195619 
 05/03  13:40:00,31.60782850855916,1.7989133066296948,66.96400313871696 
 05/03  13:50:00,31.721979739157747,1.8574563426226645,69.94688416954026 
 05/03  14:00:00,31.927161932388459,1.935945671122337,73.78770583338107 
 05/03  14:10:00,31.865095213146874,0.9458753400307055,23.89705906768357 
 05/03  14:20:00,31.932509966882308,1.0198670598459659,26.963611539104549 
 05/03  14:30:00,32.10343605801883,1.1552622218924407,33.0908396534808 
 05/03  14:40:00,32.22694157862897,1.245163371680491,37.48308992145327 
 05/03  14:50:00,32.306733357683729,1.2903602920373727,39.77359333510502 
 05/03  15:00:00,32.414005543046588,1.3686976497490334,43.851040640056599 
 05/03  15:10:00,32.52955746556107,1.4564223211345018,48.539640966983117 
 05/03  15:20:00,32.62601980739549,1.5043550380027458,51.1367630112385 
 05/03  15:30:00,32.66088791126003,1.528468544085396,52.44857152469651 
 05/03  15:40:00,32.696352916500398,1.553385231453333,53.80593635635232 
 05/03  15:50:00,32.74100361865825,1.5847562074851028,55.51533228920805 
 05/03  16:00:00,32.64127382002914,1.5024341899794905,51.03238250383788 
 05/03  16:10:00,32.49484178579818,2.3690657794089686,90.27471547921972 
 05/03  16:20:00,32.373579242425169,2.33481967462064,89.3069901510263 
 05/03  16:30:00,32.26632930595619,2.302329996757314,88.33334902519425 
 05/03  16:40:00,32.12190721086503,2.27857421755222,87.5871430564983 
 05/03  16:50:00,32.0466670858722,2.2685853622589158,87.26473421659442 
 05/03  17:00:00,32.12025567813346,2.2916188261917158,88.00048009409274 
 05/03  17:10:00,32.11890910101883,2.2950983862149645,88.10925966887669 
 05/03  17:20:00,32.06863885308806,2.2843454989154425,87.7710910243642 
 05/03  17:30:00,32.04428630976815,2.285309319862278,87.80164440741548 
 05/03  17:40:00,32.053574892136399,2.2951838754223474,88.11192444786635 
 05/03  17:50:00,32.09545650196675,2.31606832821803,88.75166788221584 
 05/03  18:00:00,32.13067313555631,2.3328926667012608,89.25075331577935 
 05/03  18:10:00,30.688463140163706,-18.37359776025594,100.0 
 05/03  18:20:00,30.21339255250115,-19.20381188866195,100.0 
 05/03  18:30:00,29.945267912965659,-19.71740947784533,100.0 
 05/03  18:40:00,29.42955201581392,-20.48246785581179,100.0 
 05/03  18:50:00,29.1839088792797,-20.936232404333106,100.0 
 05/03  19:00:00,29.129595678930817,-21.200203318832558,100.0 
 05/03  19:10:00,29.10629730683285,-21.346183241314674,100.0 
 05/03  19:20:00,29.04558272424939,-21.545027956210374,100.0 
 05/03  19:30:00,28.975751145007338,-21.758053571128604,100.0 
 05/03  19:40:00,28.888596519736013,-21.973536979556735,100.0 
 05/03  19:50:00,28.788791250486768,-22.270959872769497,100.0 
 05/03  20:00:00,28.69911951782342,-22.569438133830056,100.0 
 05/03  20:10:00,28.646453753865495,-22.78103706928452,100.0 
 05/03  20:20:00,28.587960101607054,-22.949442951773059,100.0 
 05/03  20:30:00,28.50697638628826,-23.23261185535797,100.0 
 05/03  20:40:00,28.43340574488656,-23.49808123335268,100.0 
 05/03  20:50:00,28.386593501935626,-23.69378582665982,100.0 
 05/03  21:00:00,28.30956639489052,-24.01879418510652,100.0 
 05/03  21:10:00,28.25382779801824,-24.247684631192894,100.0 
 05/03  21:20:00,28.19772102669484,-24.522008829289978,100.0 
 05/03  21:30:00,28.120385248734757,-24.823201779800806,100.0 
 05/03  21:40:00,28.03035608164586,-25.084076203713616,100.0 
 05/03  21:50:00,27.965229856615268,-25.30035025157266,100.0 
 05/03  22:00:00,27.903357406251929,-25.557552781480234,100.0 
 05/03  22:10:00,27.879954240663275,-25.686214150714429,100.0 
 05/03  22:20:00,27.848766021049579,-25.77006220644673,100.0 
 05/03  22:30:00,27.799330050062957,-25.9712821699745,100.0 
 05/03  22:40:00,27.745587181823085,-26.197458862291247,100.0 
 05/03  22:50:00,27.67243845651192,-26.40601179790439,100.0 
 05/03  23:00:00,27.64706732765874,-26.496843125997544,100.0 
 05/03  23:10:00,27.613402353360244,-26.623577305028339,100.0 
 05/03  23:20:00,27.561260120436765,-26.799948092625063,100.0 
 05/03  23:30:00,27.506724097242374,-26.979625855309047,100.0 
 05/03  23:40:00,27.464156792185056,-27.128393734320349,100.0 
 05/03  23:50:00,27.422684229680898,-27.2864585426971,100.0 
 05/03  24:00:00,27.388252065402715,-27.425426760662643,100.0 
 05/04  00:10:00,27.364428623076124,-27.556496699344135,100.0 
 05/04  00:20:00,27.287688707122116,-27.803956979879414,100.0 
 05/04  00:30:00,27.20699040466744,-28.029159770692656,100.0 
 05/04  00:40:00,27.12752581781675,-28.27486473125827,100.0 
 05/04  00:50:00,27.075298012900697,-28.433146088826594,100.0 
