Date/Time,THERMAL ZONE: JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,25.502916023510477 
 05/03  00:20:00,25.53637856462499 
 05/03  00:30:00,25.701747647267028 
 05/03  00:40:00,25.666336358578375 
 05/03  00:50:00,25.45284383675156 
 05/03  01:00:00,25.17732186880076 
 05/03  01:10:00,24.952823049628284 
 05/03  01:20:00,24.741858859106224 
 05/03  01:30:00,24.41250142472677 
 05/03  01:40:00,24.250819292865793 
 05/03  01:50:00,24.275826857641556 
 05/03  02:00:00,24.38971816473117 
 05/03  02:10:00,24.45106741979332 
 05/03  02:20:00,24.745630889505894 
 05/03  02:30:00,24.99890147275484 
 05/03  02:40:00,24.875951995337748 
 05/03  02:50:00,24.796608334603513 
 05/03  03:00:00,24.74518859097015 
 05/03  03:10:00,24.65397206826687 
 05/03  03:20:00,24.45843668622212 
 05/03  03:30:00,24.451302952978329 
 05/03  03:40:00,23.957077649306095 
 05/03  03:50:00,23.39793319046943 
 05/03  04:00:00,23.273529911483189 
 05/03  04:10:00,23.190896797122865 
 05/03  04:20:00,23.540357278879204 
 05/03  04:30:00,23.81291117476618 
 05/03  04:40:00,24.041067238529096 
 05/03  04:50:00,23.881990598255919 
 05/03  05:00:00,23.454144401094309 
 05/03  05:10:00,23.123435472112925 
 05/03  05:20:00,22.867116634910134 
 05/03  05:30:00,22.870473614743675 
 05/03  05:40:00,22.53974116046621 
 05/03  05:50:00,22.310537718308159 
 05/03  06:00:00,22.19264239549087 
 05/03  06:10:00,22.33978285476649 
 05/03  06:20:00,22.630668486103333 
 05/03  06:30:00,22.895192209989064 
 05/03  06:40:00,22.18002002746278 
 05/03  06:50:00,21.948672192584327 
 05/03  07:00:00,22.782778804423857 
 05/03  07:10:00,23.01307509340654 
 05/03  07:20:00,22.548080309648456 
 05/03  07:30:00,22.68161352473266 
 05/03  07:40:00,22.94241296284258 
 05/03  07:50:00,23.227450776882895 
 05/03  08:00:00,23.83006455919646 
 05/03  08:10:00,24.30453755323809 
 05/03  08:20:00,24.527279376164409 
 05/03  08:30:00,24.79231851995492 
 05/03  08:40:00,25.03648936608392 
 05/03  08:50:00,25.221664134508218 
 05/03  09:00:00,25.367546027862585 
 05/03  09:10:00,27.23417206981932 
 05/03  09:20:00,27.463047505813376 
 05/03  09:30:00,27.78897885183391 
 05/03  09:40:00,28.286601906067064 
 05/03  09:50:00,28.347636888056227 
 05/03  10:00:00,28.256410748073575 
 05/03  10:10:00,28.03383885350169 
 05/03  10:20:00,28.39099459967513 
 05/03  10:30:00,28.832078867925408 
 05/03  10:40:00,28.951635957924287 
 05/03  10:50:00,28.955200958739803 
 05/03  11:00:00,29.106584117633945 
 05/03  11:10:00,29.25668157188621 
 05/03  11:20:00,29.370038322679627 
 05/03  11:30:00,29.644059681445083 
 05/03  11:40:00,29.782437096377689 
 05/03  11:50:00,30.034275329082374 
 05/03  12:00:00,30.288683198193554 
 05/03  12:10:00,30.630266180949943 
 05/03  12:20:00,30.68847649873455 
 05/03  12:30:00,30.69188693951818 
 05/03  12:40:00,30.814630318130136 
 05/03  12:50:00,30.938747524379285 
 05/03  13:00:00,31.007051468433639 
 05/03  13:10:00,31.06153228281636 
 05/03  13:20:00,31.29392190373316 
 05/03  13:30:00,31.398818287541265 
 05/03  13:40:00,31.421428671460935 
 05/03  13:50:00,31.920082586192913 
 05/03  14:00:00,32.45567291732078 
 05/03  14:10:00,31.795504090414448 
 05/03  14:20:00,31.6497085446446 
 05/03  14:30:00,32.048478664260958 
 05/03  14:40:00,32.14095679638535 
 05/03  14:50:00,32.253238517020808 
 05/03  15:00:00,32.39428871810514 
 05/03  15:10:00,32.493232431825507 
 05/03  15:20:00,32.628419784850638 
 05/03  15:30:00,32.59851532856446 
 05/03  15:40:00,32.59274486507141 
 05/03  15:50:00,32.90229586385841 
 05/03  16:00:00,32.60046661643011 
 05/03  16:10:00,32.441869538128539 
 05/03  16:20:00,32.056528780716238 
 05/03  16:30:00,31.33645989278282 
 05/03  16:40:00,31.343654324811867 
 05/03  16:50:00,31.287202160177729 
 05/03  17:00:00,31.084290591767507 
 05/03  17:10:00,30.685722452399888 
 05/03  17:20:00,30.628937402333649 
 05/03  17:30:00,30.757672785308615 
 05/03  17:40:00,30.735323010107125 
 05/03  17:50:00,30.882264075297639 
 05/03  18:00:00,31.177878769162505 
 05/03  18:10:00,29.60521111444318 
 05/03  18:20:00,29.414096481587884 
 05/03  18:30:00,29.319459060406844 
 05/03  18:40:00,29.044251991279919 
 05/03  18:50:00,28.712335406907294 
 05/03  19:00:00,28.578673574747634 
 05/03  19:10:00,28.56835755634502 
 05/03  19:20:00,28.496049670305344 
 05/03  19:30:00,28.19571450101128 
 05/03  19:40:00,27.965305218206689 
 05/03  19:50:00,27.546717724406308 
 05/03  20:00:00,27.395050838881877 
 05/03  20:10:00,27.151609880031857 
 05/03  20:20:00,27.063177300590178 
 05/03  20:30:00,26.8296017114199 
 05/03  20:40:00,26.457956528914278 
 05/03  20:50:00,26.67455193484519 
 05/03  21:00:00,26.485381283602409 
 05/03  21:10:00,26.548248765941176 
 05/03  21:20:00,26.47004345265276 
 05/03  21:30:00,26.07225662113929 
 05/03  21:40:00,25.98545183558082 
 05/03  21:50:00,26.134584402242866 
 05/03  22:00:00,26.06843796281286 
 05/03  22:10:00,26.305087624264354 
 05/03  22:20:00,26.28014430048996 
 05/03  22:30:00,26.222400466475628 
 05/03  22:40:00,26.369031194465113 
 05/03  22:50:00,26.38521065293833 
 05/03  23:00:00,26.331360992151315 
 05/03  23:10:00,26.40892213229726 
 05/03  23:20:00,26.464533015385724 
 05/03  23:30:00,26.309358058046028 
 05/03  23:40:00,26.26232125376637 
 05/03  23:50:00,26.136807104590486 
 05/03  24:00:00,26.126822517989948 
 05/04  00:10:00,26.39977169334363 
 05/04  00:20:00,26.519594213512037 
 05/04  00:30:00,26.266457404025656 
 05/04  00:40:00,25.962462700602239 
 05/04  00:50:00,25.959742765641697 
 05/04  01:00:00,26.069283746726965 
 05/04  01:10:00,26.266156501363974 
 05/04  01:20:00,26.205774602547775 
 05/04  01:30:00,26.195911796713337 
 05/04  01:40:00,26.082441470931874 
 05/04  01:50:00,25.94436546669845 
 05/04  02:00:00,25.875238194772096 
 05/04  02:10:00,25.967844965169328 
 05/04  02:20:00,25.74903397481251 
 05/04  02:30:00,25.75373981492403 
 05/04  02:40:00,25.40765182262585 
 05/04  02:50:00,25.22287487505166 
 05/04  03:00:00,25.34438232120091 
 05/04  03:10:00,25.301797441798127 
 05/04  03:20:00,25.15231399815712 
 05/04  03:30:00,24.998957659749985 
 05/04  03:40:00,24.8355096777288 
 05/04  03:50:00,24.759901822869577 
 05/04  04:00:00,24.70114542791562 
 05/04  04:10:00,24.62024350036993 
 05/04  04:20:00,24.48676831963 
 05/04  04:30:00,24.223325693223054 
 05/04  04:40:00,24.154865786321048 
 05/04  04:50:00,24.15926776977644 
 05/04  05:00:00,24.078371460112359 
 05/04  05:10:00,24.257239128423554 
 05/04  05:20:00,23.595600646822264 
 05/04  05:30:00,23.33336875848388 
 05/04  05:40:00,22.986310588359669 
 05/04  05:50:00,22.771452592911396 
 05/04  06:00:00,22.9510602064251 
 05/04  06:10:00,23.381394690512545 
 05/04  06:20:00,23.619076287116497 
 05/04  06:30:00,23.322033064501118 
 05/04  06:40:00,23.600323375769329 
 05/04  06:50:00,23.841395463159729 
 05/04  07:00:00,23.983743986143208 
 05/04  07:10:00,23.998866590005055 
 05/04  07:20:00,23.82909490076975 
 05/04  07:30:00,23.673755742484308 
 05/04  07:40:00,23.779134541561449 
 05/04  07:50:00,24.0107146821397 
 05/04  08:00:00,24.430438121110396 
 05/04  08:10:00,24.79931585793537 
 05/04  08:20:00,25.02526384641261 
 05/04  08:30:00,25.255041299820176 
 05/04  08:40:00,25.49259273174473 
 05/04  08:50:00,25.688766127073003 
 05/04  09:00:00,25.792219850918298 
 05/04  09:10:00,27.39291277305676 
 05/04  09:20:00,27.477043682950524 
 05/04  09:30:00,27.751812293978799 
 05/04  09:40:00,27.978997019645154 
 05/04  09:50:00,28.124645085658366 
 05/04  10:00:00,28.369039873052175 
 05/04  10:10:00,28.545927747066647 
 05/04  10:20:00,28.59914948849761 
 05/04  10:30:00,28.746539542812998 
 05/04  10:40:00,28.894425408032089 
 05/04  10:50:00,28.972374940814313 
 05/04  11:00:00,29.220482523233355 
 05/04  11:10:00,29.408140679533394 
 05/04  11:20:00,29.713739201167468 
 05/04  11:30:00,29.943647407490908 
 05/04  11:40:00,30.121840593523197 
 05/04  11:50:00,30.211794130029135 
 05/04  12:00:00,30.2545725599964 
 05/04  12:10:00,30.402803119182076 
 05/04  12:20:00,30.67439525368322 
 05/04  12:30:00,30.90151040418612 
 05/04  12:40:00,30.988320287042016 
 05/04  12:50:00,31.106060957977577 
 05/04  13:00:00,31.28306090966892 
 05/04  13:10:00,31.41211744421023 
 05/04  13:20:00,31.566130224303337 
 05/04  13:30:00,31.59808749081693 
 05/04  13:40:00,31.568392773201038 
 05/04  13:50:00,31.68268933585673 
 05/04  14:00:00,31.814730281064727 
 05/04  14:10:00,32.03422395629431 
 05/04  14:20:00,31.871453277269187 
 05/04  14:30:00,31.9354006189398 
 05/04  14:40:00,31.898882471381268 
 05/04  14:50:00,31.887196316952438 
 05/04  15:00:00,32.00503966692493 
 05/04  15:10:00,32.35350637534547 
 05/04  15:20:00,32.64483789353092 
 05/04  15:30:00,32.70648517935192 
 05/04  15:40:00,32.8628203056339 
 05/04  15:50:00,32.8678335288928 
 05/04  16:00:00,32.6950808699927 
 05/04  16:10:00,32.737194076255828 
 05/04  16:20:00,33.05091946615984 
 05/04  16:30:00,32.976270721659847 
 05/04  16:40:00,32.95824187186411 
 05/04  16:50:00,32.80184669588418 
 05/04  17:00:00,32.72021728188119 
 05/04  17:10:00,32.61072809859057 
 05/04  17:20:00,32.61580030636972 
 05/04  17:30:00,32.6690318411199 
 05/04  17:40:00,32.74651545885278 
 05/04  17:50:00,32.83983137766551 
 05/04  18:00:00,32.739701488616748 
 05/04  18:10:00,31.393847048750304 
 05/04  18:20:00,30.949976260754946 
 05/04  18:30:00,30.88269702153314 
 05/04  18:40:00,30.616760993987847 
 05/04  18:50:00,30.57938719913944 
 05/04  19:00:00,30.4865745591838 
 05/04  19:10:00,30.327896105181769 
 05/04  19:20:00,30.08976629658432 
 05/04  19:30:00,29.867285543893837 
 05/04  19:40:00,29.713482433343768 
 05/04  19:50:00,29.581992145191728 
 05/04  20:00:00,29.49484648635132 
 05/04  20:10:00,29.412089981553096 
 05/04  20:20:00,29.329036051444036 
 05/04  20:30:00,29.22387405049434 
 05/04  20:40:00,29.180870772489706 
 05/04  20:50:00,29.1186074222096 
 05/04  21:00:00,28.984068139703564 
 05/04  21:10:00,28.7394020749542 
 05/04  21:20:00,28.64048993195475 
 05/04  21:30:00,28.477166996524283 
 05/04  21:40:00,28.47557296132106 
 05/04  21:50:00,28.4604087071626 
 05/04  22:00:00,28.534696689920567 
 05/04  22:10:00,28.476162097912267 
 05/04  22:20:00,28.472401060443955 
 05/04  22:30:00,28.391032194086188 
 05/04  22:40:00,28.26644413012723 
 05/04  22:50:00,28.159696011785785 
 05/04  23:00:00,28.122558387976225 
 05/04  23:10:00,28.10314039200165 
 05/04  23:20:00,27.900699335937838 
 05/04  23:30:00,27.812259704563059 
 05/04  23:40:00,27.82868960350889 
 05/04  23:50:00,27.783928819008435 
 05/04  24:00:00,27.60296637723695 
 05/05  00:10:00,27.459552336975354 
 05/05  00:20:00,27.405062825293635 
 05/05  00:30:00,27.440424665187515 
 05/05  00:40:00,27.44849414503737 
 05/05  00:50:00,27.232535074709085 
 05/05  01:00:00,27.227031152301114 
 05/05  01:10:00,27.24333067154901 
 05/05  01:20:00,27.22667078917644 
 05/05  01:30:00,27.007537650253867 
 05/05  01:40:00,26.227057333378285 
 05/05  01:50:00,25.854322441459474 
 05/05  02:00:00,25.397025326837409 
 05/05  02:10:00,25.478245206752214 
 05/05  02:20:00,25.49197489673269 
 05/05  02:30:00,25.332066579757464 
 05/05  02:40:00,24.963581763999103 
 05/05  02:50:00,24.97180633160966 
 05/05  03:00:00,24.758421099035887 
 05/05  03:10:00,24.727897671097403 
 05/05  03:20:00,25.087097968701209 
 05/05  03:30:00,25.08609512103523 
 05/05  03:40:00,24.914473628982998 
 05/05  03:50:00,24.923090485671957 
 05/05  04:00:00,25.099167040104218 
 05/05  04:10:00,25.21960303766426 
 05/05  04:20:00,25.128807538886155 
 05/05  04:30:00,24.834748381129147 
 05/05  04:40:00,24.69916135164115 
 05/05  04:50:00,24.767658760634359 
 05/05  05:00:00,24.818470199933466 
 05/05  05:10:00,24.634897857027658 
 05/05  05:20:00,24.892134132821025 
 05/05  05:30:00,25.05463051295273 
 05/05  05:40:00,24.99140020863685 
 05/05  05:50:00,24.827756880795659 
 05/05  06:00:00,24.69825303131841 
 05/05  06:10:00,24.608185905713325 
 05/05  06:20:00,24.36048371786428 
 05/05  06:30:00,24.124778309530574 
 05/05  06:40:00,24.098456261186489 
 05/05  06:50:00,24.189069892633964 
 05/05  07:00:00,24.01611048086645 
 05/05  07:10:00,23.799575103990926 
 05/05  07:20:00,23.881467739931833 
 05/05  07:30:00,24.381656888563695 
 05/05  07:40:00,24.793456157331528 
 05/05  07:50:00,25.092561209757269 
 05/05  08:00:00,25.324532276498123 
 05/05  08:10:00,25.533700687053348 
 05/05  08:20:00,25.928915334742628 
 05/05  08:30:00,26.19868990581907 
 05/05  08:40:00,26.36608075541051 
 05/05  08:50:00,26.464810977499174 
 05/05  09:00:00,26.49328358125843 
 05/05  09:10:00,28.40183171249777 
 05/05  09:20:00,28.53684749350557 
 05/05  09:30:00,28.874964300265824 
 05/05  09:40:00,29.001704783929765 
 05/05  09:50:00,29.230490506433726 
 05/05  10:00:00,29.17952913613402 
 05/05  10:10:00,29.298066208704566 
 05/05  10:20:00,29.62905181502862 
 05/05  10:30:00,29.818153812166 
 05/05  10:40:00,29.70499948696202 
 05/05  10:50:00,29.813247261887957 
 05/05  11:00:00,30.11362321619952 
 05/05  11:10:00,30.156553210443727 
 05/05  11:20:00,30.171826091414638 
 05/05  11:30:00,30.298562021901128 
 05/05  11:40:00,30.493040281046445 
 05/05  11:50:00,30.797448917440044 
 05/05  12:00:00,30.918439515440285 
 05/05  12:10:00,30.80058404376954 
 05/05  12:20:00,31.065518216035366 
 05/05  12:30:00,31.302551211706694 
 05/05  12:40:00,31.501091338804245 
 05/05  12:50:00,31.583449874528005 
 05/05  13:00:00,31.61482501303339 
 05/05  13:10:00,31.712107284968153 
 05/05  13:20:00,32.01133321347073 
 05/05  13:30:00,32.279885162199409 
 05/05  13:40:00,32.271076044637528 
 05/05  13:50:00,32.47399376404019 
 05/05  14:00:00,32.486113954072788 
 05/05  14:10:00,32.71549612054976 
 05/05  14:20:00,32.61636984293593 
 05/05  14:30:00,32.78296056783783 
 05/05  14:40:00,32.861013789573359 
 05/05  14:50:00,33.31001671679591 
 05/05  15:00:00,33.38391452953823 
 05/05  15:10:00,33.443339851727859 
 05/05  15:20:00,33.71542403562387 
 05/05  15:30:00,33.764090198454528 
 05/05  15:40:00,33.500838435571917 
 05/05  15:50:00,33.797085818764738 
 05/05  16:00:00,33.65079905046068 
 05/05  16:10:00,33.58717219959547 
 05/05  16:20:00,33.60478010815886 
 05/05  16:30:00,33.66261619880405 
 05/05  16:40:00,33.593804826950037 
 05/05  16:50:00,33.49658583621195 
 05/05  17:00:00,33.41111200059075 
 05/05  17:10:00,33.462546689869679 
 05/05  17:20:00,33.5751048322202 
 05/05  17:30:00,33.752227980083237 
 05/05  17:40:00,33.73731384249466 
 05/05  17:50:00,33.708025865500719 
 05/05  18:00:00,33.65120479884597 
 05/05  18:10:00,32.58130015607847 
 05/05  18:20:00,32.416854093238388 
 05/05  18:30:00,32.35534219653074 
 05/05  18:40:00,32.150870318424669 
 05/05  18:50:00,32.266914686958418 
 05/05  19:00:00,31.997620241346416 
 05/05  19:10:00,31.725112542317853 
 05/05  19:20:00,31.532829996801966 
 05/05  19:30:00,31.443637238171978 
 05/05  19:40:00,31.275985874281284 
 05/05  19:50:00,31.19938453850298 
 05/05  20:00:00,30.957488856950087 
 05/05  20:10:00,30.789195603119528 
 05/05  20:20:00,30.627825188910284 
 05/05  20:30:00,30.404354774404284 
 05/05  20:40:00,30.13912954400672 
 05/05  20:50:00,29.87238479519747 
 05/05  21:00:00,29.62137828170652 
 05/05  21:10:00,29.374358177846916 
 05/05  21:20:00,29.12126571958965 
 05/05  21:30:00,29.141009453936936 
 05/05  21:40:00,29.158490990272804 
 05/05  21:50:00,29.034684230621477 
 05/05  22:00:00,28.94219482920079 
 05/05  22:10:00,29.12098678151128 
 05/05  22:20:00,28.98415881889823 
 05/05  22:30:00,28.726407625323249 
 05/05  22:40:00,28.65012396369242 
 05/05  22:50:00,28.657081242392584 
 05/05  23:00:00,28.578466818945818 
 05/05  23:10:00,28.451846471456848 
 05/05  23:20:00,28.192012185593538 
 05/05  23:30:00,28.060167921918969 
 05/05  23:40:00,27.902167229439507 
 05/05  23:50:00,27.826018561783945 
 05/05  24:00:00,27.421930457257007 
 05/06  00:10:00,27.351697863574253 
 05/06  00:20:00,27.325790079601494 
 05/06  00:30:00,27.376869196734309 
 05/06  00:40:00,27.390990208114564 
 05/06  00:50:00,27.20930072880637 
 05/06  01:00:00,27.142059464603827 
 05/06  01:10:00,27.10380681559595 
 05/06  01:20:00,27.006949450555458 
 05/06  01:30:00,26.875550228803957 
 05/06  01:40:00,26.748560936406528 
 05/06  01:50:00,26.55747992190395 
 05/06  02:00:00,26.43294783544574 
 05/06  02:10:00,26.26308315758625 
 05/06  02:20:00,26.044332181505614 
 05/06  02:30:00,25.952399596240065 
 05/06  02:40:00,25.887110434111095 
 05/06  02:50:00,25.704213089244349 
 05/06  03:00:00,25.66919433501288 
 05/06  03:10:00,25.667739455044307 
 05/06  03:20:00,25.53095272784387 
 05/06  03:30:00,25.42679894917217 
 05/06  03:40:00,25.41019834426116 
 05/06  03:50:00,25.493594503171548 
 05/06  04:00:00,25.47040376124527 
 05/06  04:10:00,25.44747695188443 
 05/06  04:20:00,25.49213395931809 
 05/06  04:30:00,25.53369044775516 
 05/06  04:40:00,25.424166347936283 
 05/06  04:50:00,25.24874686868914 
 05/06  05:00:00,25.177265433214094 
 05/06  05:10:00,25.10958706094248 
 05/06  05:20:00,24.994229120062859 
 05/06  05:30:00,24.97267116382449 
 05/06  05:40:00,24.902178369371286 
 05/06  05:50:00,24.731839730154655 
 05/06  06:00:00,24.327153568827279 
 05/06  06:10:00,24.131254575394445 
 05/06  06:20:00,24.302704828546625 
 05/06  06:30:00,24.159569056830475 
 05/06  06:40:00,23.874352583450464 
 05/06  06:50:00,24.03706810262799 
 05/06  07:00:00,23.9452268993711 
 05/06  07:10:00,23.775598874877408 
 05/06  07:20:00,24.05335086796529 
 05/06  07:30:00,24.29367052186705 
 05/06  07:40:00,24.551881028620245 
 05/06  07:50:00,24.839810424595425 
 05/06  08:00:00,25.041337746610624 
 05/06  08:10:00,25.370786997313937 
 05/06  08:20:00,25.637765264289624 
 05/06  08:30:00,25.865221918612197 
 05/06  08:40:00,26.008867819278348 
 05/06  08:50:00,26.09224659181881 
 05/06  09:00:00,26.15269503972754 
 05/06  09:10:00,26.280725653991774 
 05/06  09:20:00,26.433253802647955 
 05/06  09:30:00,26.5477079320227 
 05/06  09:40:00,26.652819609887144 
 05/06  09:50:00,26.743351288765429 
 05/06  10:00:00,26.84947019114943 
 05/06  10:10:00,26.945928459958148 
 05/06  10:20:00,27.05298820093779 
 05/06  10:30:00,27.154237778435005 
 05/06  10:40:00,27.145480706409417 
 05/06  10:50:00,27.192335712947583 
 05/06  11:00:00,27.383161266021437 
 05/06  11:10:00,27.540410272629619 
 05/06  11:20:00,27.95085607762332 
 05/06  11:30:00,28.21262177599501 
 05/06  11:40:00,28.215641592396076 
 05/06  11:50:00,28.313135210988827 
 05/06  12:00:00,28.36396896004979 
 05/06  12:10:00,28.543701336590077 
 05/06  12:20:00,29.016899444394946 
 05/06  12:30:00,28.99111744558528 
 05/06  12:40:00,29.152799442894805 
 05/06  12:50:00,29.3585241387237 
 05/06  13:00:00,29.255450759477055 
 05/06  13:10:00,29.522162566121908 
 05/06  13:20:00,29.496590784454598 
 05/06  13:30:00,30.09403790862047 
 05/06  13:40:00,30.02690824602171 
 05/06  13:50:00,29.87908360597599 
 05/06  14:00:00,29.934373496096037 
 05/06  14:10:00,30.15239864782578 
 05/06  14:20:00,30.76436014620423 
 05/06  14:30:00,30.549389974917554 
 05/06  14:40:00,31.17017272802563 
 05/06  14:50:00,30.866712240016854 
 05/06  15:00:00,30.708726542317977 
 05/06  15:10:00,30.833922693894807 
 05/06  15:20:00,31.2630925679512 
 05/06  15:30:00,30.851472832754849 
 05/06  15:40:00,31.387963108589529 
 05/06  15:50:00,30.773434683021919 
 05/06  16:00:00,30.665626087637898 
 05/06  16:10:00,30.850155178936388 
 05/06  16:20:00,30.870160292158077 
 05/06  16:30:00,31.4489573984304 
 05/06  16:40:00,31.164243738574574 
 05/06  16:50:00,31.39920799621609 
 05/06  17:00:00,31.982456876021339 
 05/06  17:10:00,32.02449258224256 
 05/06  17:20:00,31.555308826979866 
 05/06  17:30:00,31.11482509470608 
 05/06  17:40:00,31.28628220878651 
 05/06  17:50:00,31.29208941730451 
 05/06  18:00:00,31.279075867823669 
 05/06  18:10:00,31.224723939506576 
 05/06  18:20:00,31.163510277452536 
 05/06  18:30:00,31.239226168897205 
 05/06  18:40:00,31.178697286458495 
 05/06  18:50:00,30.943632474228953 
 05/06  19:00:00,31.330464832724155 
 05/06  19:10:00,31.417275525390268 
 05/06  19:20:00,31.027607635746415 
 05/06  19:30:00,30.529852580364719 
 05/06  19:40:00,30.421535719845559 
 05/06  19:50:00,30.47925702344857 
 05/06  20:00:00,30.446351875962795 
 05/06  20:10:00,30.20232297648517 
 05/06  20:20:00,30.0237968822054 
 05/06  20:30:00,29.886850856703377 
 05/06  20:40:00,29.793376789651505 
 05/06  20:50:00,29.735857770179299 
 05/06  21:00:00,29.681500509987708 
 05/06  21:10:00,29.608709109164196 
 05/06  21:20:00,29.363770721876287 
 05/06  21:30:00,29.206571516578899 
 05/06  21:40:00,29.123319810229498 
 05/06  21:50:00,28.958703852233748 
 05/06  22:00:00,28.588437475960967 
 05/06  22:10:00,28.38310609303012 
 05/06  22:20:00,28.138354657414117 
 05/06  22:30:00,28.04269343885278 
 05/06  22:40:00,28.21250971370522 
 05/06  22:50:00,28.038919401528987 
 05/06  23:00:00,28.104168689560916 
 05/06  23:10:00,28.30092795812869 
 05/06  23:20:00,28.20829278254142 
 05/06  23:30:00,27.764288528947785 
 05/06  23:40:00,27.583798501837387 
 05/06  23:50:00,27.559583531793835 
 05/06  24:00:00,27.361446410644768 
 05/07  00:10:00,27.122755093987519 
 05/07  00:20:00,27.057445731108325 
 05/07  00:30:00,27.11101857356188 
 05/07  00:40:00,27.097625072203237 
 05/07  00:50:00,27.017822980693376 
 05/07  01:00:00,26.886725124369734 
 05/07  01:10:00,26.731156427820375 
 05/07  01:20:00,26.6153232633587 
 05/07  01:30:00,26.556854333299844 
 05/07  01:40:00,26.513583909270925 
 05/07  01:50:00,26.469688383603864 
 05/07  02:00:00,26.398708711511355 
 05/07  02:10:00,26.36276735946797 
 05/07  02:20:00,26.361596689671488 
 05/07  02:30:00,26.291252402244998 
 05/07  02:40:00,26.110169673940577 
 05/07  02:50:00,26.004753907375997 
 05/07  03:00:00,25.985150345431046 
 05/07  03:10:00,25.974291015567599 
 05/07  03:20:00,25.914538204548248 
 05/07  03:30:00,25.77972982755993 
 05/07  03:40:00,25.65407075339234 
 05/07  03:50:00,25.64722141752011 
 05/07  04:00:00,25.731909633960279 
