Date/Time,THERMAL ZONE: JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,25.494321229793486 
 05/03  00:20:00,25.524969781684648 
 05/03  00:30:00,25.69021409767186 
 05/03  00:40:00,25.655298852036795 
 05/03  00:50:00,25.44239939247995 
 05/03  01:00:00,25.167604181955157 
 05/03  01:10:00,24.943554683975479 
 05/03  01:20:00,24.733173832312568 
 05/03  01:30:00,24.404572776460044 
 05/03  01:40:00,24.243575914017769 
 05/03  01:50:00,24.26867097844133 
 05/03  02:00:00,24.381970193271046 
 05/03  02:10:00,24.442957224830069 
 05/03  02:20:00,24.736514791331893 
 05/03  02:30:00,24.989905997347284 
 05/03  02:40:00,24.867652293172445 
 05/03  02:50:00,24.788357970987744 
 05/03  03:00:00,24.73688895647915 
 05/03  03:10:00,24.645450709524075 
 05/03  03:20:00,24.45027912735585 
 05/03  03:30:00,24.443047816692073 
 05/03  03:40:00,23.94988300347045 
 05/03  03:50:00,23.39165269258057 
 05/03  04:00:00,23.26742837882091 
 05/03  04:10:00,23.184944616158036 
 05/03  04:20:00,23.53342496791766 
 05/03  04:30:00,23.805492067612609 
 05/03  04:40:00,24.03345976374497 
 05/03  04:50:00,23.874862545343775 
 05/03  05:00:00,23.447842406821417 
 05/03  05:10:00,23.117722202073016 
 05/03  05:20:00,22.86127490808871 
 05/03  05:30:00,22.864367825202483 
 05/03  05:40:00,22.53402212971042 
 05/03  05:50:00,22.305090814172 
 05/03  06:00:00,22.18731196389902 
 05/03  06:10:00,22.33426229409103 
 05/03  06:20:00,22.624889586714248 
 05/03  06:30:00,22.88913471810038 
 05/03  06:40:00,22.175001935586577 
 05/03  06:50:00,21.94387647408831 
 05/03  07:00:00,22.77688770477619 
 05/03  07:10:00,23.00759067824276 
 05/03  07:20:00,22.543276434991918 
 05/03  07:30:00,22.676975807059699 
 05/03  07:40:00,22.9379234998172 
 05/03  07:50:00,23.22307554280787 
 05/03  08:00:00,23.825676592099243 
 05/03  08:10:00,24.299164826705146 
 05/03  08:20:00,24.521588300214355 
 05/03  08:30:00,24.7868153503176 
 05/03  08:40:00,25.031496709649177 
 05/03  08:50:00,25.217072312500748 
 05/03  09:00:00,25.363484519511 
 05/03  09:10:00,27.033684950544676 
 05/03  09:20:00,27.295703709526135 
 05/03  09:30:00,27.605055176714236 
 05/03  09:40:00,28.096303191783453 
 05/03  09:50:00,28.1651335107909 
 05/03  10:00:00,28.09518712906944 
 05/03  10:10:00,27.87576768725858 
 05/03  10:20:00,28.203255548681406 
 05/03  10:30:00,28.644733304523478 
 05/03  10:40:00,28.7864131135336 
 05/03  10:50:00,28.803178539287275 
 05/03  11:00:00,28.944994859277345 
 05/03  11:10:00,29.094473206554665 
 05/03  11:20:00,29.20656080714558 
 05/03  11:30:00,29.484216217064394 
 05/03  11:40:00,29.619399784900048 
 05/03  11:50:00,29.87301870064062 
 05/03  12:00:00,30.138834842450288 
 05/03  12:10:00,30.490463833651384 
 05/03  12:20:00,30.527629467738053 
 05/03  12:30:00,30.511752367996804 
 05/03  12:40:00,30.70218566899443 
 05/03  12:50:00,30.830204270912949 
 05/03  13:00:00,30.864917121458136 
 05/03  13:10:00,30.910069035456279 
 05/03  13:20:00,31.158473862367026 
 05/03  13:30:00,31.25500097760456 
 05/03  13:40:00,31.27385914436764 
 05/03  13:50:00,31.812237733912306 
 05/03  14:00:00,32.37196182129636 
 05/03  14:10:00,31.7506639936062 
 05/03  14:20:00,31.620372019473075 
 05/03  14:30:00,32.02013120644477 
 05/03  14:40:00,32.11128370293228 
 05/03  14:50:00,32.22659143445592 
 05/03  15:00:00,32.36896836286325 
 05/03  15:10:00,32.46633665615303 
 05/03  15:20:00,32.603243090094817 
 05/03  15:30:00,32.57771204833962 
 05/03  15:40:00,32.50834660938963 
 05/03  15:50:00,32.82280843868826 
 05/03  16:00:00,32.512883986866899 
 05/03  16:10:00,32.338702516251249 
 05/03  16:20:00,31.94795183928888 
 05/03  16:30:00,31.216662725034977 
 05/03  16:40:00,31.213164849124305 
 05/03  16:50:00,31.171708533683164 
 05/03  17:00:00,30.967494452225684 
 05/03  17:10:00,30.53886457384523 
 05/03  17:20:00,30.504159570218499 
 05/03  17:30:00,30.64531435434071 
 05/03  17:40:00,30.60359975692741 
 05/03  17:50:00,30.75468507069639 
 05/03  18:00:00,31.03469872686575 
 05/03  18:10:00,29.53220767948686 
 05/03  18:20:00,29.36960524616525 
 05/03  18:30:00,29.287058781392859 
 05/03  18:40:00,29.001915489648 
 05/03  18:50:00,28.70306395442986 
 05/03  19:00:00,28.569808942857827 
 05/03  19:10:00,28.550335606603708 
 05/03  19:20:00,28.474611870788804 
 05/03  19:30:00,28.178738206295617 
 05/03  19:40:00,27.950875820720733 
 05/03  19:50:00,27.53592264412376 
 05/03  20:00:00,27.38296683838855 
 05/03  20:10:00,27.140021195501107 
 05/03  20:20:00,27.05309672258862 
 05/03  20:30:00,26.82147391946033 
 05/03  20:40:00,26.452740223422148 
 05/03  20:50:00,26.667833495993503 
 05/03  21:00:00,26.47930783587455 
 05/03  21:10:00,26.54215175207648 
 05/03  21:20:00,26.463989151535086 
 05/03  21:30:00,26.06586099723225 
 05/03  21:40:00,25.978663226572434 
 05/03  21:50:00,26.1272610421757 
 05/03  22:00:00,26.061172225828984 
 05/03  22:10:00,26.295233584293436 
 05/03  22:20:00,26.272565718022283 
 05/03  22:30:00,26.21567373315939 
 05/03  22:40:00,26.359057441543116 
 05/03  22:50:00,26.374107473757719 
 05/03  23:00:00,26.32185764422713 
 05/03  23:10:00,26.39952771985914 
 05/03  23:20:00,26.454790624867618 
 05/03  23:30:00,26.300700511651106 
 05/03  23:40:00,26.25418608074664 
 05/03  23:50:00,26.13014623195791 
 05/03  24:00:00,26.120779656642648 
 05/04  00:10:00,26.390593201957779 
