Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE: JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,23.0,23.78979183716976 
 05/03  00:20:00,23.0,23.61892478079478 
 05/03  00:30:00,23.0,24.060549083799374 
 05/03  00:40:00,22.8,23.925590497990894 
 05/03  00:50:00,22.7,23.64643356237267 
 05/03  01:00:00,22.6,23.35601114044188 
 05/03  01:10:00,22.5,23.22091156552179 
 05/03  01:20:00,22.4,23.01640437092952 
 05/03  01:30:00,22.3,22.820300829535279 
 05/03  01:40:00,22.4,22.781602048488606 
 05/03  01:50:00,22.5,22.88748689038898 
 05/03  02:00:00,22.3,22.872685645003583 
 05/03  02:10:00,22.1,22.79819547715492 
 05/03  02:20:00,22.0,23.044913646497215 
 05/03  02:30:00,22.0,23.273509890463854 
 05/03  02:40:00,21.9,23.115716760057553 
 05/03  02:50:00,21.9,23.121642171605595 
 05/03  03:00:00,21.7,23.0782017918833 
 05/03  03:10:00,21.7,22.819069965640968 
 05/03  03:20:00,21.8,22.66101303000949 
 05/03  03:30:00,21.5,22.57636836122175 
 05/03  03:40:00,21.4,22.102735687127884 
 05/03  03:50:00,21.1,21.67901570639829 
 05/03  04:00:00,21.2,21.69460879486887 
 05/03  04:10:00,21.0,21.55887910360892 
 05/03  04:20:00,20.8,21.73394859273668 
 05/03  04:30:00,20.9,21.90810916078954 
 05/03  04:40:00,20.8,22.08272636811878 
 05/03  04:50:00,21.1,22.003825580332685 
 05/03  05:00:00,20.8,21.554638190525098 
 05/03  05:10:00,20.8,21.338448189091208 
 05/03  05:20:00,20.1,20.959414693069655 
 05/03  05:30:00,20.1,20.941492192542783 
 05/03  05:40:00,19.5,20.43596119554334 
 05/03  05:50:00,19.6,20.340643672242913 
 05/03  06:00:00,19.5,20.286571921171818 
 05/03  06:10:00,19.6,20.436283402901738 
 05/03  06:20:00,19.9,20.76750042353458 
 05/03  06:30:00,19.6,20.83777706565619 
 05/03  06:40:00,19.4,20.156746623074505 
 05/03  06:50:00,19.5,20.147951038120117 
 05/03  07:00:00,19.8,21.028993729038964 
 05/03  07:10:00,20.1,20.927348985438408 
 05/03  07:20:00,20.1,20.68595255087262 
 05/03  07:30:00,20.7,21.106715284174734 
 05/03  07:40:00,21.2,21.523033585758495 
