Date/Time,THERMAL ZONE 1:Zone Electric Equipment Total Heating Rate [W](TimeStep),THERMAL ZONE 1:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:10:00,100.0,27.012218701175983 
 01/01  00:20:00,100.0,26.986946922966426 
 01/01  00:30:00,100.0,26.960867517268804 
 01/01  00:40:00,100.0,26.93398031318797 
 01/01  00:50:00,100.0,26.906332877030516 
 01/01  01:00:00,100.0,26.87770469202885 
 01/01  01:10:00,100.0,26.848223293195045 
 01/01  01:20:00,100.0,26.81803960498705 
 01/01  01:30:00,100.0,26.787229274358844 
 01/01  01:40:00,100.0,26.755770624570638 
 01/01  01:50:00,100.0,26.72368324502418 
 01/01  02:00:00,100.0,26.690972770063959 
 01/01  02:10:00,100.0,26.657688531078397 
 01/01  02:20:00,100.0,26.623847435098356 
 01/01  02:30:00,100.0,26.589491114845207 
 01/01  02:40:00,100.0,26.554632983434137 
 01/01  02:50:00,100.0,26.519320234918358 
 01/01  03:00:00,100.0,26.483567733461915 
 01/01  03:10:00,100.0,26.44741096755306 
 01/01  03:20:00,100.0,26.410861096455208 
 01/01  03:30:00,100.0,26.373951117299148 
 01/01  03:40:00,100.0,26.33668624685506 
 01/01  03:50:00,100.0,26.299090133286524 
 01/01  04:00:00,100.0,26.261171543029524 
 01/01  04:10:00,100.0,26.222947372691548 
 01/01  04:20:00,100.0,26.18442664641095 
 01/01  04:30:00,100.0,26.145630802976059 
 01/01  04:40:00,100.0,26.106563137280195 
 01/01  04:50:00,100.0,26.067248599202505 
 01/01  05:00:00,100.0,26.02769739032333 
 01/01  05:10:00,100.0,25.987924267644187 
 01/01  05:20:00,100.0,25.94794236543049 
 01/01  05:30:00,100.0,25.90776023814996 
 01/01  05:40:00,100.0,25.867388880193987 
 01/01  05:50:00,100.0,25.826840830448714 
 01/01  06:00:00,100.0,25.786122397447888 
 01/01  06:10:00,100.0,25.74525031398021 
 01/01  06:20:00,100.0,25.704230694178365 
 01/01  06:30:00,100.0,25.663080453701857 
 01/01  06:40:00,100.0,25.621815137122938 
 01/01  06:50:00,100.0,25.58044984400566 
 01/01  07:00:00,100.0,25.539007057028983 
 01/01  07:10:00,100.0,25.49750238459716 
 01/01  07:20:00,100.0,25.455957794496169 
 01/01  07:30:00,100.0,25.414389823833227 
 01/01  07:40:00,100.0,25.37281400051012 
 01/01  07:50:00,100.0,25.331247402754838 
 01/01  08:00:00,100.0,25.28970548059677 
 01/01  08:10:00,100.0,25.248198032103347 
 01/01  08:20:00,100.0,25.206740033640079 
 01/01  08:30:00,100.0,25.16533775553447 
 01/01  08:40:00,100.0,25.124019356024438 
 01/01  08:50:00,100.0,25.082805250831226 
 01/01  09:00:00,100.0,25.041747528477047 
 01/01  09:10:00,200.0,25.66576448738897 
 01/01  09:20:00,200.0,26.083949271869856 
 01/01  09:30:00,200.0,26.14305562348052 
 01/01  09:40:00,200.0,26.10540397035939 
 01/01  09:50:00,200.0,26.119696143467679 
 01/01  10:00:00,200.0,26.1686121644553 
 01/01  10:10:00,200.0,26.210522100644515 
 01/01  10:20:00,200.0,26.237904257086134 
 01/01  10:30:00,200.0,26.260267047850584 
 01/01  10:40:00,200.0,26.283178617261564 
 01/01  10:50:00,200.0,26.306455792009968 
 01/01  11:00:00,200.0,26.328901957798018 
 01/01  11:10:00,200.0,26.350556274014506 
 01/01  11:20:00,200.0,26.37211075807939 
 01/01  11:30:00,200.0,26.394013119887 
 01/01  11:40:00,200.0,26.41654198119846 
 01/01  11:50:00,200.0,26.43979963228968 
 01/01  12:00:00,200.0,26.464042642459103 
 01/01  12:10:00,200.0,26.48937090332378 
 01/01  12:20:00,200.0,26.516018489215275 
 01/01  12:30:00,200.0,26.544006347803046 
 01/01  12:40:00,200.0,26.573527950077894 
 01/01  12:50:00,200.0,26.604806765717379 
 01/01  13:00:00,200.0,26.637907608816158 
 01/01  13:10:00,200.0,26.672573690572365 
 01/01  13:20:00,200.0,26.70890990234135 
 01/01  13:30:00,200.0,26.746856529069676 
 01/01  13:40:00,200.0,26.786550435806345 
 01/01  13:50:00,200.0,26.82786610533514 
 01/01  14:00:00,200.0,26.87088077041073 
 01/01  14:10:00,200.0,26.915462612657767 
 01/01  14:20:00,200.0,26.96168693269004 
 01/01  14:30:00,200.0,27.009420583569978 
 01/01  14:40:00,200.0,27.058729110573276 
 01/01  14:50:00,200.0,27.109492314554769 
 01/01  15:00:00,200.0,27.161768700520438 
 01/01  15:10:00,200.0,27.215450235300677 
 01/01  15:20:00,200.0,27.270592113298247 
 01/01  15:30:00,200.0,27.327096968672458 
 01/01  15:40:00,200.0,27.384996136998976 
 01/01  15:50:00,200.0,27.44419720537994 
 01/01  16:00:00,200.0,27.50470880038536 
 01/01  16:10:00,200.0,27.566430667520707 
 01/01  16:20:00,200.0,27.629343230898468 
 01/01  16:30:00,200.0,27.69333174491603 
 01/01  16:40:00,200.0,27.7583301364847 
 01/01  16:50:00,200.0,27.824217383124183 
 01/01  17:00:00,200.0,27.89088900459089 
 01/01  17:10:00,200.0,27.958217491458226 
 01/01  17:20:00,200.0,28.026069167505523 
 01/01  17:30:00,200.0,28.09431581871959 
 01/01  17:40:00,200.0,28.162796601690244 
 01/01  17:50:00,200.0,28.23137509778927 
 01/01  18:00:00,200.0,28.299854419617444 
 01/01  18:10:00,100.0,27.737714338557717 
 01/01  18:20:00,100.0,27.33070400249367 
 01/01  18:30:00,100.0,27.250725503386464 
 01/01  18:40:00,100.0,27.300881996511479 
 01/01  18:50:00,100.0,27.327148141655028 
 01/01  19:00:00,100.0,27.314198043540008 
 01/01  19:10:00,100.0,27.295822975794619 
 01/01  19:20:00,100.0,27.289089205229368 
 01/01  19:30:00,100.0,27.290704708811153 
 01/01  19:40:00,100.0,27.29376223595054 
 01/01  19:50:00,100.0,27.295848957272236 
 01/01  20:00:00,100.0,27.29756295513322 
 01/01  20:10:00,100.0,27.29957077171764 
 01/01  20:20:00,100.0,27.30164749842034 
 01/01  20:30:00,100.0,27.303349815063556 
 01/01  20:40:00,100.0,27.304275193017366 
