Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ESTE:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),NORTE:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),OESTE:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),SUR:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),TECHO:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep) 
 03/05  00:10:00,23.0,0.0,0.0,0.0,0.0,0.0 
 03/05  00:20:00,23.0,0.0,0.0,0.0,0.0,0.0 
 03/05  00:30:00,23.0,0.0,0.0,0.0,0.0,0.0 
 03/05  00:40:00,22.8,0.0,0.0,0.0,0.0,0.0 
 03/05  00:50:00,22.7,0.0,0.0,0.0,0.0,0.0 
 03/05  01:00:00,22.6,0.0,0.0,0.0,0.0,0.0 
 03/05  01:10:00,22.5,0.0,0.0,0.0,0.0,0.0 
 03/05  01:20:00,22.4,0.0,0.0,0.0,0.0,0.0 
 03/05  01:30:00,22.3,0.0,0.0,0.0,0.0,0.0 
 03/05  01:40:00,22.4,0.0,0.0,0.0,0.0,0.0 
 03/05  01:50:00,22.5,0.0,0.0,0.0,0.0,0.0 
 03/05  02:00:00,22.3,0.0,0.0,0.0,0.0,0.0 
 03/05  02:10:00,22.1,0.0,0.0,0.0,0.0,0.0 
 03/05  02:20:00,22.0,0.0,0.0,0.0,0.0,0.0 
 03/05  02:30:00,22.0,0.0,0.0,0.0,0.0,0.0 
 03/05  02:40:00,21.9,0.0,0.0,0.0,0.0,0.0 
 03/05  02:50:00,21.9,0.0,0.0,0.0,0.0,0.0 
 03/05  03:00:00,21.7,0.0,0.0,0.0,0.0,0.0 
 03/05  03:10:00,21.7,0.0,0.0,0.0,0.0,0.0 
 03/05  03:20:00,21.8,0.0,0.0,0.0,0.0,0.0 
 03/05  03:30:00,21.5,0.0,0.0,0.0,0.0,0.0 
 03/05  03:40:00,21.4,0.0,0.0,0.0,0.0,0.0 
 03/05  03:50:00,21.1,0.0,0.0,0.0,0.0,0.0 
 03/05  04:00:00,21.2,0.0,0.0,0.0,0.0,0.0 
 03/05  04:10:00,21.0,0.0,0.0,0.0,0.0,0.0 
 03/05  04:20:00,20.8,0.0,0.0,0.0,0.0,0.0 
 03/05  04:30:00,20.9,0.0,0.0,0.0,0.0,0.0 
 03/05  04:40:00,20.8,0.0,0.0,0.0,0.0,0.0 
 03/05  04:50:00,21.1,0.0,0.0,0.0,0.0,0.0 
 03/05  05:00:00,20.8,0.0,0.0,0.0,0.0,0.0 
 03/05  05:10:00,20.8,0.0,0.0,0.0,0.0,0.0 
 03/05  05:20:00,20.1,0.0,0.0,0.0,0.0,0.0 
