Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep) 
 05/03  00:10:00,23.0,0.0 
 05/03  00:20:00,23.0,0.0 
 05/03  00:30:00,23.0,0.0 
 05/03  00:40:00,22.8,0.0 
 05/03  00:50:00,22.7,0.0 
 05/03  01:00:00,22.6,0.0 
 05/03  01:10:00,22.5,0.0 
 05/03  01:20:00,22.4,0.0 
 05/03  01:30:00,22.3,0.0 
 05/03  01:40:00,22.4,0.0 
 05/03  01:50:00,22.5,0.0 
 05/03  02:00:00,22.3,0.0 
 05/03  02:10:00,22.1,0.0 
 05/03  02:20:00,22.0,0.0 
 05/03  02:30:00,22.0,0.0 
 05/03  02:40:00,21.9,0.0 
 05/03  02:50:00,21.9,0.0 
 05/03  03:00:00,21.7,0.0 
 05/03  03:10:00,21.7,0.0 
 05/03  03:20:00,21.8,0.0 
 05/03  03:30:00,21.5,0.0 
 05/03  03:40:00,21.4,0.0 
 05/03  03:50:00,21.1,0.0 
 05/03  04:00:00,21.2,0.0 
 05/03  04:10:00,21.0,0.0 
 05/03  04:20:00,20.8,0.0 
 05/03  04:30:00,20.9,0.0 
 05/03  04:40:00,20.8,0.0 
 05/03  04:50:00,21.1,0.0 
 05/03  05:00:00,20.8,0.0 
 05/03  05:10:00,20.8,0.0 
 05/03  05:20:00,20.1,0.0 
 05/03  05:30:00,20.1,0.0 
 05/03  05:40:00,19.5,0.0 
 05/03  05:50:00,19.6,0.0 
 05/03  06:00:00,19.5,0.0 
 05/03  06:10:00,19.6,0.0 
 05/03  06:20:00,19.9,0.0 
 05/03  06:30:00,19.6,1.824 
 05/03  06:40:00,19.4,9.63 
 05/03  06:50:00,19.5,20.3 
 05/03  07:00:00,19.8,31.65 
 05/03  07:10:00,20.1,43.26 
 05/03  07:20:00,20.1,54.53 
 05/03  07:30:00,20.7,65.97 
 05/03  07:40:00,21.2,77.64 
 05/03  07:50:00,22.0,88.2 
 05/03  08:00:00,22.9,98.1 
 05/03  08:10:00,24.3,106.6 
 05/03  08:20:00,24.3,114.5 
 05/03  08:30:00,24.4,122.5 
 05/03  08:40:00,24.7,129.4 
 05/03  08:50:00,25.1,136.0 
 05/03  09:00:00,25.4,143.7 
 05/03  09:10:00,25.9,152.0 
 05/03  09:20:00,26.2,157.8 
 05/03  09:30:00,26.3,158.5 
 05/03  09:40:00,26.4,165.0 
 05/03  09:50:00,26.4,168.6 
 05/03  10:00:00,25.9,173.9 
 05/03  10:10:00,26.2,174.4 
 05/03  10:20:00,26.9,176.0 
 05/03  10:30:00,27.2,178.3 
 05/03  10:40:00,27.3,179.2 
 05/03  10:50:00,27.4,180.5 
 05/03  11:00:00,27.6,181.8 
 05/03  11:10:00,28.5,184.5 
 05/03  11:20:00,28.0,187.7 
 05/03  11:30:00,29.1,191.3 
 05/03  11:40:00,29.2,194.3 
 05/03  11:50:00,29.9,199.7 
 05/03  12:00:00,30.5,202.6 
 05/03  12:10:00,31.4,204.0 
 05/03  12:20:00,30.8,205.0 
 05/03  12:30:00,30.6,208.6 
 05/03  12:40:00,30.8,212.7 
 05/03  12:50:00,30.9,215.7 
 05/03  13:00:00,31.5,220.6 
 05/03  13:10:00,31.8,223.7 
 05/03  13:20:00,32.0,229.7 
 05/03  13:30:00,31.8,235.4 
 05/03  13:40:00,31.6,243.3 
 05/03  13:50:00,32.8,264.8 
 05/03  14:00:00,33.5,313.1 
 05/03  14:10:00,31.8,301.6 
 05/03  14:20:00,32.4,330.0 
 05/03  14:30:00,32.8,310.1 
 05/03  14:40:00,33.7,306.0 
 05/03  14:50:00,32.9,306.6 
 05/03  15:00:00,33.3,320.3 
 05/03  15:10:00,33.9,347.2 
 05/03  15:20:00,33.6,310.9 
 05/03  15:30:00,32.9,319.7 
 05/03  15:40:00,33.3,274.8 
 05/03  15:50:00,33.5,196.6 
 05/03  16:00:00,32.9,121.4 
 05/03  16:10:00,32.6,83.0 
 05/03  16:20:00,30.9,60.94 
 05/03  16:30:00,29.4,49.32 
 05/03  16:40:00,29.0,37.39 
 05/03  16:50:00,28.4,43.15 
 05/03  17:00:00,29.2,61.68 
 05/03  17:10:00,28.0,100.8 
 05/03  17:20:00,26.8,131.9 
 05/03  17:30:00,26.8,117.0 
 05/03  17:40:00,27.5,94.2 
 05/03  17:50:00,28.0,98.2 
 05/03  18:00:00,28.3,85.8 
 05/03  18:10:00,28.1,93.6 
 05/03  18:20:00,28.4,72.01 
 05/03  18:30:00,28.3,39.85 
 05/03  18:40:00,28.1,33.48 
 05/03  18:50:00,27.9,26.09 
 05/03  19:00:00,27.8,0.0 
 05/03  19:10:00,27.7,0.0 
 05/03  19:20:00,27.4,0.0 
