Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ESTE:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),NORTE:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),OESTE:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),SUR:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),TECHO:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep) 
 01/01  00:10:00,18.4,0.0,0.0,0.0,0.0,0.0 
 01/01  00:20:00,18.1,0.0,0.0,0.0,0.0,0.0 
 01/01  00:30:00,18.3,0.0,0.0,0.0,0.0,0.0 
 01/01  00:40:00,17.9,0.0,0.0,0.0,0.0,0.0 
 01/01  00:50:00,17.7,0.0,0.0,0.0,0.0,0.0 
 01/01  01:00:00,17.5,0.0,0.0,0.0,0.0,0.0 
 01/01  01:10:00,17.3,0.0,0.0,0.0,0.0,0.0 
 01/01  01:20:00,17.6,0.0,0.0,0.0,0.0,0.0 
 01/01  01:30:00,17.3,0.0,0.0,0.0,0.0,0.0 
 01/01  01:40:00,16.9,0.0,0.0,0.0,0.0,0.0 
 01/01  01:50:00,17.3,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,17.3,0.0,0.0,0.0,0.0,0.0 
 01/01  02:10:00,17.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:20:00,16.4,0.0,0.0,0.0,0.0,0.0 
 01/01  02:30:00,16.9,0.0,0.0,0.0,0.0,0.0 
 01/01  02:40:00,15.9,0.0,0.0,0.0,0.0,0.0 
 01/01  02:50:00,15.8,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,16.3,0.0,0.0,0.0,0.0,0.0 
 01/01  03:10:00,17.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:20:00,17.2,0.0,0.0,0.0,0.0,0.0 
 01/01  03:30:00,16.5,0.0,0.0,0.0,0.0,0.0 
 01/01  03:40:00,16.1,0.0,0.0,0.0,0.0,0.0 
 01/01  03:50:00,15.6,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,15.9,0.0,0.0,0.0,0.0,0.0 
 01/01  04:10:00,16.3,0.0,0.0,0.0,0.0,0.0 
 01/01  04:20:00,16.4,0.0,0.0,0.0,0.0,0.0 
 01/01  04:30:00,16.2,0.0,0.0,0.0,0.0,0.0 
 01/01  04:40:00,15.5,0.0,0.0,0.0,0.0,0.0 
 01/01  04:50:00,15.5,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,16.7,0.0,0.0,0.0,0.0,0.0 
 01/01  05:10:00,16.0,0.0,0.0,0.0,0.0,0.0 
 01/01  05:20:00,15.4,0.0,0.0,0.0,0.0,0.0 
 01/01  05:30:00,15.2,0.0,0.0,0.0,0.0,0.0 
 01/01  05:40:00,15.5,0.0,0.0,0.0,0.0,0.0 
 01/01  05:50:00,14.8,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,14.9,0.0,0.0,0.0,0.0,0.0 
 01/01  06:10:00,14.3,0.0,0.0,0.0,0.0,0.0 
 01/01  06:20:00,15.0,0.0,0.0,0.0,0.0,0.0 
 01/01  06:30:00,14.6,0.0,0.0,0.0,0.0,0.0 
 01/01  06:40:00,14.6,0.0,0.0,0.0,0.0,0.0 
 01/01  06:50:00,14.4,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,15.3,0.0,0.0,0.0,0.0,0.0 
 01/01  07:10:00,14.9,0.0,0.0,0.0,0.0,0.0 
 01/01  07:20:00,15.1,0.0,0.0,0.0,0.0,0.0 
 01/01  07:30:00,14.8,0.0,0.0,0.0,0.0,0.0 
 01/01  07:40:00,14.8,0.0,0.0,0.0,0.0,0.0 
 01/01  07:50:00,15.1,0.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,15.6,0.0,0.0,0.0,0.0,0.0 
 01/01  08:10:00,16.2,0.0,0.0,0.0,0.0,0.0 
 01/01  08:20:00,17.4,0.0,0.0,0.0,0.0,0.0 
 01/01  08:30:00,19.0,0.0,0.0,0.0,0.0,0.0 
 01/01  08:40:00,18.0,0.0,0.0,0.0,0.0,0.0 
 01/01  08:50:00,18.3,0.0,0.0,0.0,0.0,0.0 
 01/01  09:00:00,18.9,0.0,0.0,0.0,0.0,0.0 
 01/01  09:10:00,19.9,0.0,0.0,0.0,0.0,0.0 
 01/01  09:20:00,20.1,0.0,0.0,0.0,0.0,0.0 
 01/01  09:30:00,20.0,0.0,0.0,0.0,0.0,0.0 
 01/01  09:40:00,20.2,0.0,0.0,0.0,0.0,0.0 
 01/01  09:50:00,20.0,0.0,0.0,0.0,0.0,0.0 
 01/01  10:00:00,19.8,0.0,0.0,0.0,0.0,0.0 
 01/01  10:10:00,19.8,0.0,0.0,0.0,0.0,0.0 
 01/01  10:20:00,20.9,0.0,0.0,0.0,0.0,0.0 
 01/01  10:30:00,21.0,0.0,0.0,0.0,0.0,0.0 
 01/01  10:40:00,21.2,0.0,0.0,0.0,0.0,0.0 
 01/01  10:50:00,21.7,0.0,0.0,0.0,0.0,0.0 
 01/01  11:00:00,21.6,0.0,0.0,0.0,0.0,0.0 
 01/01  11:10:00,22.2,0.0,0.0,0.0,0.0,0.0 
 01/01  11:20:00,22.7,0.0,0.0,0.0,0.0,0.0 
 01/01  11:30:00,23.0,0.0,0.0,0.0,0.0,0.0 
 01/01  11:40:00,23.0,0.0,0.0,0.0,0.0,0.0 
 01/01  11:50:00,23.2,0.0,0.0,0.0,0.0,0.0 
 01/01  12:00:00,23.6,0.0,0.0,0.0,0.0,0.0 
 01/01  12:10:00,23.9,0.0,0.0,0.0,0.0,0.0 
 01/01  12:20:00,23.8,0.0,0.0,0.0,0.0,0.0 
 01/01  12:30:00,24.7,0.0,0.0,0.0,0.0,0.0 
 01/01  12:40:00,24.2,0.0,0.0,0.0,0.0,0.0 
 01/01  12:50:00,25.0,0.0,0.0,0.0,0.0,0.0 
 01/01  13:00:00,24.7,0.0,0.0,0.0,0.0,0.0 
 01/01  13:10:00,25.1,0.0,0.0,0.0,0.0,0.0 
 01/01  13:20:00,25.6,0.0,0.0,0.0,0.0,0.0 
 01/01  13:30:00,25.4,0.0,0.0,0.0,0.0,0.0 
 01/01  13:40:00,25.7,0.0,0.0,0.0,0.0,0.0 
 01/01  13:50:00,26.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:00:00,26.2,0.0,0.0,0.0,0.0,0.0 
 01/01  14:10:00,26.8,0.0,0.0,0.0,0.0,0.0 
 01/01  14:20:00,27.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:30:00,27.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:40:00,27.3,0.0,0.0,0.0,0.0,0.0 
 01/01  14:50:00,27.7,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,26.4,0.0,0.0,0.0,0.0,0.0 
 01/01  15:10:00,26.8,0.0,0.0,0.0,0.0,0.0 
 01/01  15:20:00,26.8,0.0,0.0,0.0,0.0,0.0 
 01/01  15:30:00,27.0,0.0,0.0,0.0,0.0,0.0 
 01/01  15:40:00,27.3,0.0,0.0,0.0,0.0,0.0 
 01/01  15:50:00,27.2,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,27.5,0.0,0.0,0.0,0.0,0.0 
 01/01  16:10:00,28.5,0.0,0.0,0.0,0.0,0.0 
 01/01  16:20:00,27.6,0.0,0.0,0.0,0.0,0.0 
 01/01  16:30:00,27.6,0.0,0.0,0.0,0.0,0.0 
 01/01  16:40:00,28.0,0.0,0.0,0.0,0.0,0.0 
 01/01  16:50:00,27.3,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,28.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:10:00,28.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:20:00,27.1,0.0,0.0,0.0,0.0,0.0 
 01/01  17:30:00,27.1,0.0,0.0,0.0,0.0,0.0 
 01/01  17:40:00,28.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:50:00,26.3,0.0,0.0,0.0,0.0,0.0 
 01/01  18:00:00,25.7,0.0,0.0,0.0,0.0,0.0 
 01/01  18:10:00,25.7,0.0,0.0,0.0,0.0,0.0 
 01/01  18:20:00,25.0,0.0,0.0,0.0,0.0,0.0 
 01/01  18:30:00,24.6,0.0,0.0,0.0,0.0,0.0 
 01/01  18:40:00,23.9,0.0,0.0,0.0,0.0,0.0 
 01/01  18:50:00,23.5,0.0,0.0,0.0,0.0,0.0 
 01/01  19:00:00,21.7,0.0,0.0,0.0,0.0,0.0 
 01/01  19:10:00,20.9,0.0,0.0,0.0,0.0,0.0 
 01/01  19:20:00,20.6,0.0,0.0,0.0,0.0,0.0 
 01/01  19:30:00,20.2,0.0,0.0,0.0,0.0,0.0 
 01/01  19:40:00,20.1,0.0,0.0,0.0,0.0,0.0 
 01/01  19:50:00,20.0,0.0,0.0,0.0,0.0,0.0 
 01/01  20:00:00,19.8,0.0,0.0,0.0,0.0,0.0 
 01/01  20:10:00,20.0,0.0,0.0,0.0,0.0,0.0 
 01/01  20:20:00,20.0,0.0,0.0,0.0,0.0,0.0 
 01/01  20:30:00,19.4,0.0,0.0,0.0,0.0,0.0 
 01/01  20:40:00,19.0,0.0,0.0,0.0,0.0,0.0 
 01/01  20:50:00,19.5,0.0,0.0,0.0,0.0,0.0 
 01/01  21:00:00,20.0,0.0,0.0,0.0,0.0,0.0 
 01/01  21:10:00,19.8,0.0,0.0,0.0,0.0,0.0 
 01/01  21:20:00,19.8,0.0,0.0,0.0,0.0,0.0 
 01/01  21:30:00,19.7,0.0,0.0,0.0,0.0,0.0 
 01/01  21:40:00,19.4,0.0,0.0,0.0,0.0,0.0 
 01/01  21:50:00,19.8,0.0,0.0,0.0,0.0,0.0 
 01/01  22:00:00,20.1,0.0,0.0,0.0,0.0,0.0 
 01/01  22:10:00,19.9,0.0,0.0,0.0,0.0,0.0 
 01/01  22:20:00,20.3,0.0,0.0,0.0,0.0,0.0 
 01/01  22:30:00,19.8,0.0,0.0,0.0,0.0,0.0 
 01/01  22:40:00,19.0,0.0,0.0,0.0,0.0,0.0 
 01/01  22:50:00,19.8,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,19.7,0.0,0.0,0.0,0.0,0.0 
 01/01  23:10:00,19.7,0.0,0.0,0.0,0.0,0.0 
 01/01  23:20:00,19.7,0.0,0.0,0.0,0.0,0.0 
 01/01  23:30:00,19.8,0.0,0.0,0.0,0.0,0.0 
 01/01  23:40:00,19.8,0.0,0.0,0.0,0.0,0.0 
 01/01  23:50:00,18.8,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,18.8,0.0,0.0,0.0,0.0,0.0 
 01/02  00:10:00,18.5,0.0,0.0,0.0,0.0,0.0 
 01/02  00:20:00,17.6,0.0,0.0,0.0,0.0,0.0 
 01/02  00:30:00,18.2,0.0,0.0,0.0,0.0,0.0 
 01/02  00:40:00,17.5,0.0,0.0,0.0,0.0,0.0 
 01/02  00:50:00,17.6,0.0,0.0,0.0,0.0,0.0 
 01/02  01:00:00,17.8,0.0,0.0,0.0,0.0,0.0 
 01/02  01:10:00,17.3,0.0,0.0,0.0,0.0,0.0 
 01/02  01:20:00,16.5,0.0,0.0,0.0,0.0,0.0 
 01/02  01:30:00,16.9,0.0,0.0,0.0,0.0,0.0 
 01/02  01:40:00,16.7,0.0,0.0,0.0,0.0,0.0 
 01/02  01:50:00,16.6,0.0,0.0,0.0,0.0,0.0 
 01/02  02:00:00,16.8,0.0,0.0,0.0,0.0,0.0 
 01/02  02:10:00,15.7,0.0,0.0,0.0,0.0,0.0 
 01/02  02:20:00,16.1,0.0,0.0,0.0,0.0,0.0 
 01/02  02:30:00,15.8,0.0,0.0,0.0,0.0,0.0 
 01/02  02:40:00,16.0,0.0,0.0,0.0,0.0,0.0 
 01/02  02:50:00,16.2,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,16.4,0.0,0.0,0.0,0.0,0.0 
 01/02  03:10:00,16.5,0.0,0.0,0.0,0.0,0.0 
 01/02  03:20:00,16.9,0.0,0.0,0.0,0.0,0.0 
 01/02  03:30:00,16.5,0.0,0.0,0.0,0.0,0.0 
 01/02  03:40:00,16.4,0.0,0.0,0.0,0.0,0.0 
 01/02  03:50:00,16.4,0.0,0.0,0.0,0.0,0.0 
 01/02  04:00:00,16.5,0.0,0.0,0.0,0.0,0.0 
 01/02  04:10:00,16.3,0.0,0.0,0.0,0.0,0.0 
 01/02  04:20:00,16.2,0.0,0.0,0.0,0.0,0.0 
 01/02  04:30:00,16.3,0.0,0.0,0.0,0.0,0.0 
 01/02  04:40:00,16.0,0.0,0.0,0.0,0.0,0.0 
 01/02  04:50:00,15.9,0.0,0.0,0.0,0.0,0.0 
 01/02  05:00:00,15.8,0.0,0.0,0.0,0.0,0.0 
 01/02  05:10:00,15.7,0.0,0.0,0.0,0.0,0.0 
 01/02  05:20:00,15.5,0.0,0.0,0.0,0.0,0.0 
 01/02  05:30:00,15.2,0.0,0.0,0.0,0.0,0.0 
 01/02  05:40:00,15.2,0.0,0.0,0.0,0.0,0.0 
 01/02  05:50:00,15.6,0.0,0.0,0.0,0.0,0.0 
 01/02  06:00:00,15.6,0.0,0.0,0.0,0.0,0.0 
 01/02  06:10:00,15.2,0.0,0.0,0.0,0.0,0.0 
 01/02  06:20:00,15.2,0.0,0.0,0.0,0.0,0.0 
 01/02  06:30:00,15.4,0.0,0.0,0.0,0.0,0.0 
 01/02  06:40:00,15.6,0.0,0.0,0.0,0.0,0.0 
 01/02  06:50:00,15.8,0.0,0.0,0.0,0.0,0.0 
 01/02  07:00:00,15.7,0.0,0.0,0.0,0.0,0.0 
 01/02  07:10:00,15.4,0.0,0.0,0.0,0.0,0.0 
 01/02  07:20:00,15.0,0.0,0.0,0.0,0.0,0.0 
 01/02  07:30:00,14.9,0.0,0.0,0.0,0.0,0.0 
 01/02  07:40:00,14.7,0.0,0.0,0.0,0.0,0.0 
 01/02  07:50:00,14.9,0.0,0.0,0.0,0.0,0.0 
 01/02  08:00:00,15.7,0.0,0.0,0.0,0.0,0.0 
